game_date,slip_type,wager,potential_payout,Pick_1_Player,Pick_1_Prop,Pick_1_Dir,Pick_1_Line,Pick_2_Player,Pick_2_Prop,Pick_2_Dir,Pick_2_Line,Pick_3_Player,Pick_3_Prop,Pick_3_Dir,Pick_3_Line,Pick_4_Player,Pick_4_Prop,Pick_4_Dir,Pick_4_Line,result,actual_payout
2026-04-02,2-pick Power Play,20.0,60.0,Evan Mobley,PA,UNDER,24.5,Jarrett Allen,PTS,OVER,14.0,,,,,,,,,,
2026-04-02,3-pick Power Play,20.0,100.0,Evan Mobley,PA,UNDER,24.5,Jarrett Allen,PTS,OVER,14.0,De'Anthony Melton,PTS,UNDER,13.5,,,,,,
2026-04-02,4-pick Power Play,20.0,200.0,Evan Mobley,PA,UNDER,24.5,Jarrett Allen,PTS,OVER,14.0,De'Anthony Melton,PTS,UNDER,13.5,Donovan Mitchell,PA,UNDER,32.0,,
