game_date,slip_type,wager,potential_payout,Pick_1_Player,Pick_1_Prop,Pick_1_Dir,Pick_1_Line,Pick_2_Player,Pick_2_Prop,Pick_2_Dir,Pick_2_Line,Pick_3_Player,Pick_3_Prop,Pick_3_Dir,Pick_3_Line,Pick_4_Player,Pick_4_Prop,Pick_4_Dir,Pick_4_Line,result,actual_payout
2026-03-29,3-pick Power Play,20.0,100.0,Quentin Grimes,PA,OVER,12.5,Austin Reaves,PTS,UNDER,31.5,LeBron James,PTS,UNDER,26.0,,,,,LOSS,0
2026-03-29,4-pick Power Play,20.0,200.0,Quentin Grimes,PA,OVER,12.5,Austin Reaves,PTS,UNDER,31.5,LeBron James,PTS,UNDER,26.0,Payton Pritchard,AST,UNDER,6.5,LOSS,0
2026-03-29,2-pick Power Play,20.0,60.0,Bennedict Mathurin,TRB,UNDER,8.5,Caris LeVert,AST,UNDER,4.5,,,,,,,,,LOSS,0
,,,,,,,,,,,,,,,,,,,,LOSS,0
2026-03-31,2-pick Power Play,20.0,60.0,Ausar Thompson,TRB,UNDER,8.0,Donovan Mitchell,AST,UNDER,7.0,,,,,,,,,WIN,60.0
2026-03-31,3-pick Power Play,20.0,100.0,Ausar Thompson,TRB,UNDER,8.0,Donovan Mitchell,AST,UNDER,7.0,Ja'Kobe Walter,TRB,UNDER,5.0,,,,,WIN,100.0
2026-03-31,4-pick Power Play,20.0,200.0,Ausar Thompson,TRB,UNDER,8.0,Donovan Mitchell,AST,UNDER,7.0,Ja'Kobe Walter,TRB,UNDER,5.0,Deni Avdija,PA,UNDER,34.5,LOSS,0.0
2026-04-01,2-pick Power Play,20.0,60.0,Derrick White,PTS,UNDER,16.5,OG Anunoby,PTS,UNDER,15.5,,,,,,,,,LOSS,0.0
2026-04-01,3-pick Power Play,20.0,100.0,Derrick White,PTS,UNDER,16.5,OG Anunoby,PTS,UNDER,15.5,Mikal Bridges,PRA,UNDER,22.0,,,,,LOSS,0.0
2026-04-01,4-pick Power Play,20.0,200.0,Derrick White,PTS,UNDER,16.5,OG Anunoby,PTS,UNDER,15.5,Mikal Bridges,PRA,UNDER,22.0,Victor Wembanyama,PTS,OVER,24.75,LOSS,0.0
2026-04-02,2-pick Power Play,20.0,60.0,Evan Mobley,PA,UNDER,24.5,Jarrett Allen,PTS,OVER,14.0,,,,,,,,,WIN,60.0
2026-04-02,3-pick Power Play,20.0,100.0,Evan Mobley,PA,UNDER,24.5,Jarrett Allen,PTS,OVER,14.0,De'Anthony Melton,PTS,UNDER,13.5,,,,,WIN,100.0
2026-04-02,4-pick Power Play,20.0,200.0,Evan Mobley,PA,UNDER,24.5,Jarrett Allen,PTS,OVER,14.0,De'Anthony Melton,PTS,UNDER,13.5,Donovan Mitchell,PA,UNDER,32.0,WIN,200.0
