Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Rui Hachimura,LAL,GSW,L,35.415,3,6,0.5,3,6,0.5,0,0,0.0,0,4,4,3,0,0,1,2,9,7.5,2025-10-21
Marcus Smart,LAL,GSW,L,22.768333333333334,3,6,0.5,0,3,0.0,3,4,0.75,0,0,0,0,1,0,3,4,9,2.0,2025-10-21
Devin Vassell,SAS,DAL,W,30.933333333333334,6,14,0.429,1,4,0.25,0,1,0.0,1,2,3,4,2,0,0,0,13,11.3,2025-10-22
Saddiq Bey,NOP,MEM,L,29.583333333333332,5,12,0.417,1,5,0.2,2,4,0.5,3,3,6,3,1,0,0,2,13,11.1,2025-10-22
Tre Mann,CHA,BKN,W,20.65,4,7,0.571,2,3,0.667,2,3,0.667,1,2,3,6,1,0,2,1,12,12.399999999999997,2025-10-22
Neemias Queta,BOS,PHI,L,25.11,7,8,0.875,0,0,0.0,3,4,0.75,2,6,8,0,0,0,2,6,17,12.6,2025-10-22
Taylor Hendricks,UTA,LAC,W,18.7,4,6,0.667,2,3,0.667,3,4,0.75,2,4,6,0,1,1,2,1,13,11.899999999999999,2025-10-22
Malik Monk,SAC,PHX,L,27.383333333333333,7,13,0.538,3,4,0.75,2,2,1.0,0,1,1,2,0,0,0,2,19,13.600000000000001,2025-10-22
Cedric Coward,MEM,NOP,W,22.218333333333334,5,5,1.0,0,0,0.0,4,4,1.0,0,3,3,1,2,1,0,2,14,16.0,2025-10-22
Brook Lopez,LAC,UTA,L,16.966666666666665,5,12,0.417,5,11,0.455,0,0,0.0,1,2,3,0,1,0,2,3,15,7.699999999999999,2025-10-22
Alex Sarr,WAS,MIL,L,25.533333333333335,5,10,0.5,0,0,0.0,0,2,0.0,1,10,11,3,0,0,1,1,10,8.6,2025-10-22
Goga Bitadze,ORL,MIA,W,18.5,3,4,0.75,0,1,0.0,2,2,1.0,3,5,8,4,1,1,0,1,8,14.1,2025-10-22
Jaime Jaquez Jr.,MIA,ORL,L,29.815,6,7,0.857,0,1,0.0,1,2,0.5,1,5,6,1,2,0,2,3,13,11.799999999999997,2025-10-22
Anfernee Simons,BOS,PHI,L,32.288333333333334,5,10,0.5,2,6,0.333,1,1,1.0,1,3,4,1,1,1,0,2,13,11.199999999999998,2025-10-22
Shaedon Sharpe,POR,MIN,L,28.871666666666666,5,20,0.25,3,9,0.333,2,2,1.0,0,2,2,4,1,0,4,1,15,2.999999999999999,2025-10-22
Day'Ron Sharpe,BKN,CHA,L,14.066666666666666,6,7,0.857,1,2,0.5,1,2,0.5,1,3,4,0,1,2,5,5,14,8.1,2025-10-22
Jalen Suggs,ORL,MIA,W,16.5,6,7,0.857,2,3,0.667,0,0,0.0,0,4,4,2,2,0,2,3,14,12.899999999999999,2025-10-22
P.J. Washington,DAL,SAS,L,29.416666666666668,7,11,0.636,2,3,0.667,1,1,1.0,1,4,5,1,0,1,2,4,17,11.799999999999999,2025-10-22
Moussa Diabaté,CHA,BKN,W,21.233333333333334,5,7,0.714,0,0,0.0,3,4,0.75,4,5,9,0,1,1,2,3,13,12.5,2025-10-22
Toumani Camara,POR,MIN,L,34.733333333333334,3,9,0.333,2,5,0.4,2,2,1.0,4,5,9,5,0,0,0,1,10,12.299999999999999,2025-10-22
Walter Clayton Jr.,UTA,LAC,W,18.083333333333332,4,8,0.5,1,3,0.333,1,1,1.0,3,3,6,5,2,0,2,2,10,11.7,2025-10-22
Tobias Harris,DET,CHI,L,34.4,4,12,0.333,1,3,0.333,1,1,1.0,2,7,9,4,1,0,0,2,10,9.7,2025-10-22
Ryan Kalkbrenner,CHA,BKN,W,26.766666666666666,5,6,0.833,0,0,0.0,0,0,0.0,5,6,11,1,0,2,4,4,10,9.600000000000001,2025-10-22
Egor Dëmin,BKN,CHA,L,22.316666666666666,4,6,0.667,4,6,0.667,2,2,1.0,0,5,5,2,1,0,2,3,14,12.100000000000001,2025-10-22
Jaylen Wells,MEM,NOP,W,27.531666666666666,4,8,0.5,4,8,0.5,2,5,0.4,0,3,3,4,1,0,2,3,14,10.3,2025-10-22
