player,market,line,over_odds,under_odds,num_books
Domantas Sabonis,player_points_assists,16.5,105,115,3
Domantas Sabonis,player_points_rebounds,21.5,-110,130,3
Domantas Sabonis,player_points_rebounds_assists,25.0,120,135,6
Domantas Sabonis,player_rebounds,8.7,200,165,7
Donte DiVincenzo,player_assists,4.6,115,130,7
Donte DiVincenzo,player_blocks,0.5,120,-165,1
Donte DiVincenzo,player_points,14.0,215,165,7
Donte DiVincenzo,player_points_assists,18.5,-105,130,4
Donte DiVincenzo,player_points_rebounds,18.3,105,115,4
Donte DiVincenzo,player_points_rebounds_assists,23.5,120,145,7
Donte DiVincenzo,player_rebounds,4.5,175,170,7
Dorian Finney-Smith,player_assists,0.5,-165,125,1
Dorian Finney-Smith,player_points,4.5,-125,-105,1
Dorian Finney-Smith,player_points_rebounds_assists,8.5,-120,-110,1
Dorian Finney-Smith,player_rebounds,2.8,135,105,4
Draymond Green,player_assists,5.8,185,140,7
Draymond Green,player_blocks,0.5,-120,-115,1
Draymond Green,player_points,9.7,175,205,7
Draymond Green,player_points_assists,16.0,105,115,4
Draymond Green,player_points_rebounds,15.5,-105,135,4
Draymond Green,player_points_rebounds_assists,21.9,125,140,6
Draymond Green,player_rebounds,6.1,120,215,7
Dylan Harper,player_assists,3.5,142,-155,5
Dylan Harper,player_points,9.5,106,-110,5
Dylan Harper,player_points_assists,12.5,-102,-112,2
Dylan Harper,player_points_rebounds,12.5,-103,-128,1
Dylan Harper,player_points_rebounds_assists,15.5,-104,-105,4
Dylan Harper,player_rebounds,2.5,-125,124,5
Gradey Dick,player_points,6.5,-111,-111,4
Grayson Allen,player_assists,2.7,205,108,4
Grayson Allen,player_points,13.1,170,170,6
Grayson Allen,player_points_assists,15.7,110,115,3
Grayson Allen,player_points_rebounds,15.7,105,120,3
Grayson Allen,player_points_rebounds_assists,18.1,115,170,6
Grayson Allen,player_rebounds,2.7,155,115,5
Harrison Barnes,player_assists,1.5,-134,110,3
Harrison Barnes,player_blocks,0.5,400,-700,1
Harrison Barnes,player_points,9.1,200,190,7
Harrison Barnes,player_points_assists,10.5,-110,-105,2
Harrison Barnes,player_points_rebounds,11.0,-125,-105,2
Harrison Barnes,player_points_rebounds_assists,13.2,-115,-105,4
Harrison Barnes,player_rebounds,2.6,165,105,6
Immanuel Quickley,player_assists,5.6,125,115,7
Immanuel Quickley,player_blocks,0.5,425,-800,1
Immanuel Quickley,player_points,17.0,190,170,7
Immanuel Quickley,player_points_assists,22.3,-105,130,4
Immanuel Quickley,player_points_rebounds,20.3,-105,125,4
Immanuel Quickley,player_points_rebounds_assists,26.6,110,150,6
Immanuel Quickley,player_rebounds,3.8,140,130,7
Isaac Okoro,player_assists,1.5,100,-135,1
Isaac Okoro,player_blocks,0.5,130,-185,1
Isaac Okoro,player_points,7.4,175,175,7
Isaac Okoro,player_points_assists,8.5,-125,-105,1
Isaac Okoro,player_points_rebounds,9.5,-120,100,2
Isaac Okoro,player_points_rebounds_assists,11.5,-101,-115,2
Isaac Okoro,player_rebounds,2.5,109,-130,3
Isaiah Collier,player_assists,6.7,110,106,6
Isaiah Collier,player_points,9.4,180,215,7
Isaiah Collier,player_points_assists,17.0,-102,-102,2
Isaiah Collier,player_points_rebounds,12.5,-119,-111,1
Isaiah Collier,player_points_rebounds_assists,19.8,-116,-105,4
Isaiah Collier,player_rebounds,2.5,-118,100,5
Ivica Zubac,player_assists,2.3,126,140,5
Ivica Zubac,player_blocks,0.5,-165,120,1
Ivica Zubac,player_points,16.4,200,165,7
Ivica Zubac,player_points_assists,18.5,-110,-102,2
Ivica Zubac,player_points_rebounds,27.7,-106,120,4
Ivica Zubac,player_points_rebounds_assists,30.2,-113,-113,3
Ivica Zubac,player_rebounds,11.3,145,190,7
Jabari Smith Jr,player_assists,1.5,106,-139,3
Jabari Smith Jr,player_blocks,0.5,-130,-105,1
Jabari Smith Jr,player_points,14.6,170,210,7
Jabari Smith Jr,player_points_assists,16.5,-102,-110,2
Jabari Smith Jr,player_points_rebounds,20.8,-110,130,4
Jabari Smith Jr,player_points_rebounds_assists,23.2,-105,-114,3
Jabari Smith Jr,player_rebounds,6.5,170,135,7
Jaden McDaniels,player_assists,3.2,140,135,6
Jaden McDaniels,player_blocks,0.5,-145,100,1
Jaden McDaniels,player_points,15.0,185,185,8
Jaden McDaniels,player_points_assists,18.3,105,115,4
Jaden McDaniels,player_points_rebounds,19.5,-105,125,4
Jaden McDaniels,player_points_rebounds_assists,23.1,125,135,5
Jaden McDaniels,player_rebounds,4.5,165,175,7
Jaden McDaniels,player_steals,1.5,139,-185,2
Jaime Jaquez Jr,player_assists,4.2,125,135,7
Jaime Jaquez Jr,player_points,14.5,200,180,7
Jaime Jaquez Jr,player_points_assists,18.5,110,110,3
Jaime Jaquez Jr,player_points_rebounds,18.1,-102,135,3
Jaime Jaquez Jr,player_points_rebounds_assists,23.0,125,140,6
Jaime Jaquez Jr,player_rebounds,4.4,130,120,7
Jake LaRavia,player_assists,2.0,152,120,2
Jake LaRavia,player_blocks,0.5,200,-295,1
Jake LaRavia,player_points,9.8,200,175,7
Jake LaRavia,player_points_assists,11.5,-110,-118,1
Jake LaRavia,player_points_rebounds,13.7,100,140,4
Jake LaRavia,player_points_rebounds_assists,16.2,-102,-114,3
Jake LaRavia,player_rebounds,4.5,210,140,7
Jake LaRavia,player_steals,1.5,184,-220,2
Jalen Green,player_assists,2.3,130,190,4
Jalen Green,player_points,13.0,200,190,6
Jalen Green,player_points_assists,15.2,110,115,2
Jalen Green,player_points_rebounds,15.5,-104,140,2
Jalen Green,player_points_rebounds_assists,18.2,130,145,5
Jalen Green,player_rebounds,2.6,145,120,6
Jalen Pickett,player_assists,4.2,155,110,6
Jalen Pickett,player_blocks,0.5,340,-600,1
Jalen Pickett,player_points,9.3,170,155,7
Jalen Pickett,player_points_assists,12.8,-105,140,4
Jalen Pickett,player_points_rebounds,12.8,-105,140,4
Jalen Pickett,player_points_rebounds_assists,16.8,120,170,5
Jalen Pickett,player_rebounds,3.8,140,123,7
Jalen Smith,player_assists,1.5,110,-150,1
Jalen Smith,player_points,10.9,200,210,7
Jalen Smith,player_points_rebounds,18.1,100,120,3
Jalen Smith,player_points_rebounds_assists,20.5,-105,-130,1
Jalen Smith,player_rebounds,7.7,200,175,7
Jamal Murray,player_assists,8.5,145,150,7
Jamal Murray,player_blocks,0.5,190,-275,1
Jamal Murray,player_points,27.5,200,210,7
Jamal Murray,player_points_assists,36.5,100,110,4
Jamal Murray,player_points_rebounds,32.2,105,105,4
Jamal Murray,player_points_rebounds_assists,40.7,115,120,6
Jamal Murray,player_rebounds,4.5,180,165,7
Jamal Shead,player_assists,5.5,-140,120,5
Jamal Shead,player_points,8.5,-121,100,5
Jamal Shead,player_points_assists,15.0,-102,-102,2
Jamal Shead,player_points_rebounds,11.5,-104,-126,1
Jamal Shead,player_points_rebounds_assists,17.2,-111,-110,4
Jamal Shead,player_rebounds,2.5,130,-152,4
James Harden,player_assists,8.7,180,200,8
James Harden,player_blocks,0.5,200,-295,1
James Harden,player_points,30.8,215,210,7
James Harden,player_points_assists,38.7,-105,110,4
James Harden,player_points_rebounds,34.7,-110,120,4
James Harden,player_points_rebounds_assists,44.1,110,120,6
James Harden,player_rebounds,4.6,130,123,7
James Harden,player_steals,1.5,148,-182,2
John Collins,player_blocks,0.5,-165,120,1
John Collins,player_points,14.4,215,165,7
John Collins,player_points_assists,14.5,100,-130,1
John Collins,player_points_rebounds,19.2,-106,135,4
John Collins,player_points_rebounds_assists,21.0,100,-130,2
John Collins,player_rebounds,5.5,205,125,7
Josh Giddey,player_assists,6.9,170,135,6
Josh Giddey,player_blocks,0.5,240,-350,1
Josh Giddey,player_points,14.6,210,165,6
Josh Giddey,player_points_assists,21.2,110,110,4
Josh Giddey,player_points_rebounds,20.7,110,110,4
Josh Giddey,player_points_rebounds_assists,27.2,115,140,5
Josh Giddey,player_rebounds,6.1,145,165,6
Josh Giddey,player_steals,0.5,-156,117,1
Josh Okogie,player_assists,0.5,-175,130,1
Josh Okogie,player_points,4.5,-120,-110,1
Josh Okogie,player_points_rebounds_assists,8.5,100,-135,1
Josh Okogie,player_rebounds,2.5,129,-143,2
Julian Champagnie,player_assists,0.5,-200,150,1
Julian Champagnie,player_blocks,0.5,190,-275,1
Julian Champagnie,player_points,10.7,200,165,7
Julian Champagnie,player_points_assists,11.5,-130,-105,1
Julian Champagnie,player_points_rebounds,16.0,-110,140,4
Julian Champagnie,player_points_rebounds_assists,17.5,-115,-102,3
Julian Champagnie,player_rebounds,5.5,155,165,7
Julius Randle,player_assists,5.5,200,145,8
Julius Randle,player_blocks,0.5,240,-350,1
Julius Randle,player_points,23.6,180,170,7
Julius Randle,player_points_assists,28.7,-107,120,4
Julius Randle,player_points_rebounds,31.0,105,105,4
Julius Randle,player_points_rebounds_assists,36.6,118,130,6
Julius Randle,player_rebounds,7.5,165,130,7
Jusuf Nurkic,player_assists,3.6,165,100,7
Jusuf Nurkic,player_blocks,0.5,180,-275,1
Jusuf Nurkic,player_points,12.4,185,165,7
Jusuf Nurkic,player_points_assists,16.0,-105,135,4
Jusuf Nurkic,player_points_rebounds,22.0,105,115,4
Jusuf Nurkic,player_points_rebounds_assists,25.8,115,140,6
Jusuf Nurkic,player_rebounds,9.6,210,145,7
Kel'el Ware,player_points,8.5,-105,-118,5
Kel'el Ware,player_points_rebounds_assists,15.5,-115,-115,1
Kel'el Ware,player_rebounds,6.5,-118,-102,5
Keldon Johnson,player_assists,0.5,-250,185,1
Keldon Johnson,player_points,11.7,190,160,7
Keldon Johnson,player_points_rebounds,16.5,-105,130,2
Keldon Johnson,player_points_rebounds_assists,17.5,-118,-106,3
Keldon Johnson,player_rebounds,5.0,130,121,6
Kelly Oubre Jr,player_assists,1.5,160,-220,1
Kelly Oubre Jr,player_points,12.0,180,165,8
Kelly Oubre Jr,player_points_rebounds,16.9,-105,130,3
Kelly Oubre Jr,player_points_rebounds_assists,18.5,-125,-105,1
Kelly Oubre Jr,player_rebounds,4.9,205,125,6
Kevin Durant,player_assists,4.8,155,125,7
Kevin Durant,player_blocks,0.5,-149,130,4
Kevin Durant,player_points,25.1,205,175,7
Kevin Durant,player_points_assists,30.0,105,105,4
Kevin Durant,player_points_rebounds,29.7,-105,115,4
Kevin Durant,player_points_rebounds_assists,35.1,115,125,6
Kevin Durant,player_rebounds,5.2,115,130,7
Kevin Durant,player_steals,0.5,-158,118,1
Keyonte George,player_assists,5.8,205,125,7
Keyonte George,player_blocks,0.5,300,-500,1
Keyonte George,player_points,25.0,200,190,7
Keyonte George,player_points_assists,30.2,-110,120,4
Keyonte George,player_points_rebounds,28.3,100,110,4
Keyonte George,player_points_rebounds_assists,34.5,114,140,6
Keyonte George,player_rebounds,3.6,150,119,7
Kris Dunn,player_assists,3.5,-125,114,6
Kris Dunn,player_blocks,0.5,280,-450,1
Kris Dunn,player_points,8.9,200,190,7
Kris Dunn,player_points_assists,12.5,-110,150,4
Kris Dunn,player_points_rebounds,11.8,-103,145,4
Kris Dunn,player_points_rebounds_assists,16.4,112,118,5
Kris Dunn,player_rebounds,3.4,125,150,7
Kris Dunn,player_steals,1.5,-125,-102,2
Kyle Filipowski,player_assists,1.5,-118,-110,1
Kyle Filipowski,player_points,12.5,-105,-111,5
Kyle Filipowski,player_points_rebounds,20.0,-104,-108,2
Kyle Filipowski,player_points_rebounds_assists,21.5,-125,-105,1
Kyle Filipowski,player_rebounds,7.5,104,-130,5
Lauri Markkanen,player_points,25.5,190,190,1
Lauri Markkanen,player_points_rebounds,33.0,115,120,2
Lauri Markkanen,player_rebounds,7.5,175,125,1
LeBron James,player_assists,6.5,205,125,8
LeBron James,player_blocks,0.5,-115,-110,3
LeBron James,player_points,22.9,185,175,7
LeBron James,player_points_assists,29.0,-105,115,4
LeBron James,player_points_rebounds,29.0,-105,120,4
LeBron James,player_points_rebounds_assists,35.6,120,120,6
LeBron James,player_rebounds,6.4,170,135,7
Luka Doncic,player_assists,8.5,145,150,7
Luka Doncic,player_blocks,0.5,145,-165,3
Luka Doncic,player_points,32.6,200,180,7
Luka Doncic,player_points_assists,41.2,105,105,4
Luka Doncic,player_points_rebounds,39.5,100,110,4
Luka Doncic,player_points_rebounds_assists,48.3,116,115,6
Luka Doncic,player_rebounds,6.9,200,200,8
Luka Doncic,player_steals,1.5,117,-135,3
Luke Kornet,player_assists,1.5,124,-160,3
Luke Kornet,player_points,6.4,180,190,7
Luke Kornet,player_points_assists,7.5,-123,-107,1
Luke Kornet,player_points_rebounds,11.5,-105,145,2
Luke Kornet,player_points_rebounds_assists,13.2,109,-110,4
Luke Kornet,player_rebounds,5.3,125,126,5
Malik Monk,player_points,10.5,-126,100,4
Marcus Smart,player_assists,2.6,190,130,7
Marcus Smart,player_blocks,0.5,240,-350,1
Marcus Smart,player_points,8.6,102,102,6
Marcus Smart,player_points_assists,11.5,-110,150,4
Marcus Smart,player_points_rebounds,12.2,115,115,4
Marcus Smart,player_points_rebounds_assists,15.0,140,150,6
Marcus Smart,player_rebounds,2.5,-148,127,6
Marcus Smart,player_steals,1.5,165,-215,3
Mark Williams,player_assists,0.5,-175,130,1
Mark Williams,player_blocks,1.2,164,165,3
Mark Williams,player_points,10.3,210,155,7
Mark Williams,player_points_assists,10.5,100,-135,1
Mark Williams,player_points_rebounds,18.0,105,115,4
Mark Williams,player_points_rebounds_assists,17.5,-130,-105,1
Mark Williams,player_rebounds,7.7,180,200,7
Matas Buzelis,player_assists,1.5,-140,120,3
Matas Buzelis,player_blocks,1.5,136,-125,3
Matas Buzelis,player_points,13.6,185,205,8
Matas Buzelis,player_points_assists,15.5,-130,100,2
Matas Buzelis,player_points_rebounds,18.5,110,110,4
Matas Buzelis,player_points_rebounds_assists,20.5,-112,-110,3
Matas Buzelis,player_rebounds,4.5,175,170,7
Maxime Raynaud,player_assists,0.5,-190,140,1
Maxime Raynaud,player_blocks,0.5,135,-190,1
Maxime Raynaud,player_points,7.9,160,190,6
Maxime Raynaud,player_points_assists,8.5,-110,-120,1
Maxime Raynaud,player_points_rebounds,13.8,105,125,4
Maxime Raynaud,player_points_rebounds_assists,14.5,-118,-110,1
Maxime Raynaud,player_rebounds,5.5,130,200,6
Mike Conley,player_assists,2.5,-150,125,3
Mike Conley,player_points,4.5,-125,-105,1
Mike Conley,player_points_rebounds_assists,9.5,-110,-120,1
Mike Conley,player_rebounds,1.5,-120,-110,1
Moses Moody,player_assists,1.5,-145,135,4
Moses Moody,player_blocks,0.5,-145,105,1
Moses Moody,player_points,12.1,185,165,7
Moses Moody,player_points_assists,14.0,-105,-118,2
Moses Moody,player_points_rebounds,15.0,-110,140,4
Moses Moody,player_points_rebounds_assists,17.5,-105,-114,3
Moses Moody,player_rebounds,3.5,180,200,7
Naz Reid,player_assists,2.5,107,-130,4
Naz Reid,player_points,15.0,210,165,7
Naz Reid,player_points_assists,17.5,-104,-112,2
Naz Reid,player_points_rebounds,20.7,-110,130,3
Naz Reid,player_points_rebounds_assists,24.0,100,-105,4
Naz Reid,player_rebounds,6.5,165,145,8
Nicolas Batum,player_assists,0.5,-220,165,1
Nicolas Batum,player_points,4.5,-126,104,4
Nicolas Batum,player_points_rebounds,7.5,-116,-102,2
Nicolas Batum,player_points_rebounds_assists,8.5,-123,100,2
Nicolas Batum,player_rebounds,2.5,-139,120,5
Nikola Vucevic,player_assists,3.4,112,175,7
Nikola Vucevic,player_blocks,0.5,-130,-110,1
Nikola Vucevic,player_points,16.8,200,205,7
Nikola Vucevic,player_points_assists,19.7,-105,125,4
Nikola Vucevic,player_points_rebounds,25.5,100,115,4
Nikola Vucevic,player_points_rebounds_assists,28.7,120,145,7
Nikola Vucevic,player_rebounds,8.7,205,160,8
Norman Powell,player_assists,2.5,-114,100,5
Norman Powell,player_blocks,0.5,260,-400,1
Norman Powell,player_points,24.0,210,180,7
Norman Powell,player_points_assists,26.5,-105,120,3
Norman Powell,player_points_rebounds,27.5,105,105,4
Norman Powell,player_points_rebounds_assists,30.5,120,125,5
Norman Powell,player_rebounds,3.5,205,170,7
Norman Powell,player_steals,1.5,175,-225,2
Ochai Agbaji,player_assists,0.5,-185,135,1
Ochai Agbaji,player_blocks,0.5,195,-285,1
Ochai Agbaji,player_points,6.6,160,140,7
Ochai Agbaji,player_points_assists,7.5,-135,100,1
Ochai Agbaji,player_points_rebounds,10.2,115,125,4
Ochai Agbaji,player_points_rebounds_assists,11.5,103,-110,2
Ochai Agbaji,player_rebounds,3.5,215,165,7
Oso Ighodaro,player_assists,1.5,125,-165,1
Oso Ighodaro,player_points,4.5,-110,-118,1
Oso Ighodaro,player_points_rebounds_assists,10.5,-150,110,1
Paul George,player_assists,3.6,155,126,8
Paul George,player_blocks,0.5,175,-250,1
Paul George,player_points,17.0,200,165,7
Paul George,player_points_assists,20.5,100,120,4
Paul George,player_points_rebounds,21.5,-105,125,4
Paul George,player_points_rebounds_assists,25.7,115,145,6
Paul George,player_rebounds,4.8,125,126,8
Pelle Larsson,player_assists,3.2,132,175,7
Pelle Larsson,player_blocks,0.5,270,-400,1
Pelle Larsson,player_points,11.6,185,165,7
Pelle Larsson,player_points_assists,14.5,100,130,4
Pelle Larsson,player_points_rebounds,14.5,100,130,4
Pelle Larsson,player_points_rebounds_assists,18.2,135,140,5
Pelle Larsson,player_rebounds,3.4,120,150,7
Peyton Watson,player_assists,2.5,116,-149,3
Peyton Watson,player_points,18.8,190,200,6
Peyton Watson,player_points_assists,21.5,-104,-126,1
Peyton Watson,player_points_rebounds,24.5,-110,125,3
Peyton Watson,player_points_rebounds_assists,26.5,-118,-110,2
Peyton Watson,player_rebounds,5.9,200,115,6
Peyton Watson,player_steals,1.5,170,-171,3
Precious Achiuwa,player_assists,0.5,-175,130,1
Precious Achiuwa,player_blocks,0.5,-155,110,1
Precious Achiuwa,player_points,8.4,175,160,6
Precious Achiuwa,player_points_assists,8.5,-115,-118,1
Precious Achiuwa,player_points_rebounds,13.8,-105,140,4
Precious Achiuwa,player_points_rebounds_assists,15.0,105,-125,2
Precious Achiuwa,player_rebounds,5.5,140,185,6
Quentin Grimes,player_assists,2.6,130,140,6
Quentin Grimes,player_points,11.9,200,205,7
Quentin Grimes,player_points_assists,14.9,110,120,3
Quentin Grimes,player_points_rebounds,15.1,105,125,3
