player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Amen Thompson,HOU,DET,L,30.016666666666666,2,8,0.25,0,1,0.0,6,10,0.6,1,3,4,1,0,0,2,5,10,1.9000000000000008,2025-10-24,20251024_Amen_Thompson_HOU_DET,20251024_DET_HOU,,0
Amir Coffey,MIL,TOR,W,2.783333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,2025-10-24,20251024_Amir_Coffey_MIL_TOR,20251024_MIL_TOR,,1
Andrew Wiggins,MIA,MEM,W,23.683333333333334,4,8,0.5,0,1,0.0,2,5,0.4,4,3,7,3,1,1,2,3,10,9.099999999999998,2025-10-24,20251024_Andrew_Wiggins_MIA_MEM,20251024_MEM_MIA,,1
Anfernee Simons,BOS,NYK,L,27.05,4,9,0.444,1,4,0.25,1,2,0.5,0,1,1,4,3,0,2,2,10,8.2,2025-10-24,20251024_Anfernee_Simons_BOS_NYK,20251024_BOS_NYK,,0
Anthony Black,ORL,ATL,L,21.04833333333333,3,4,0.75,0,0,0.0,2,5,0.4,0,3,3,2,1,0,4,4,8,2.9000000000000004,2025-10-24,20251024_Anthony_Black_ORL_ATL,20251024_ATL_ORL,,0
Anthony Davis,DAL,WAS,L,37.656666666666666,9,19,0.474,0,4,0.0,9,12,0.75,3,10,13,4,2,2,5,3,27,21.200000000000003,2025-10-24,20251024_Anthony_Davis_DAL_WAS,20251024_DAL_WAS,,0
Anthony Edwards,MIN,LAL,L,34.68333333333333,11,19,0.579,3,6,0.5,6,9,0.667,0,4,4,5,0,1,2,0,31,24.3,2025-10-24,20251024_Anthony_Edwards_MIN_LAL,20251024_LAL_MIN,,0
Asa Newell,ATL,ORL,W,3.8,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,5,3.3000000000000003,2025-10-24,20251024_Asa_Newell_ATL_ORL,20251024_ATL_ORL,,1
Ausar Thompson,DET,HOU,W,24.321666666666665,9,16,0.563,1,3,0.333,0,2,0.0,0,2,2,4,1,1,1,3,19,13.5,2025-10-24,20251024_Ausar_Thompson_DET_HOU,20251024_DET_HOU,,1
Austin Reaves,LAL,MIN,W,36.583333333333336,9,15,0.6,2,5,0.4,5,5,1.0,0,7,7,11,0,0,1,1,25,26.500000000000004,2025-10-24,20251024_Austin_Reaves_LAL_MIN,20251024_LAL_MIN,,1
Bam Adebayo,MIA,MEM,W,28.35,8,19,0.421,4,8,0.5,4,4,1.0,1,4,5,4,1,0,1,2,24,17.799999999999997,2025-10-24,20251024_Bam_Adebayo_MIA_MEM,20251024_MEM_MIA,,1
Baylor Scheierman,BOS,NYK,L,4.205,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2025-10-24,20251024_Baylor_Scheierman_BOS_NYK,20251024_BOS_NYK,,0
Ben Saraf,BKN,CLE,L,18.466666666666665,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,3,2,2,-2.1,2025-10-24,20251024_Ben_Saraf_BKN_CLE,20251024_BKN_CLE,,0
Blake Wesley,POR,GSW,W,19.89666666666667,2,6,0.333,0,2,0.0,0,0,0.0,1,1,2,4,2,0,2,3,4,3.2,2025-10-24,20251024_Blake_Wesley_POR_GSW,20251024_GSW_POR,,1
Bobby Portis,MIL,TOR,W,21.166666666666668,5,13,0.385,1,5,0.2,0,0,0.0,3,5,8,0,0,0,1,3,11,5.3,2025-10-24,20251024_Bobby_Portis_MIL_TOR,20251024_MIL_TOR,,1
Bones Hyland,MIN,LAL,L,16.383333333333333,4,6,0.667,1,3,0.333,0,0,0.0,0,0,0,2,1,0,0,1,9,8.4,2025-10-24,20251024_Bones_Hyland_MIN_LAL,20251024_LAL_MIN,,0
Bradley Beal,LAC,PHX,W,20.1,2,4,0.5,0,0,0.0,2,2,1.0,1,0,1,2,0,0,1,1,6,4.699999999999999,2025-10-24,20251024_Bradley_Beal_LAC_PHX,20251024_LAC_PHX,,1
Brandin Podziemski,GSW,POR,L,22.453333333333333,2,9,0.222,1,3,0.333,3,4,0.75,1,4,5,0,2,0,2,1,8,3.6000000000000005,2025-10-24,20251024_Brandin_Podziemski_GSW_POR,20251024_GSW_POR,,0
Brandon Ingram,TOR,MIL,L,37.35,10,20,0.5,3,7,0.429,6,7,0.857,1,5,6,3,0,1,4,1,29,19.2,2025-10-24,20251024_Brandon_Ingram_TOR_MIL,20251024_MIL_TOR,,0
Brandon Williams,DAL,WAS,L,6.93,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0,-0.0999999999999999,2025-10-24,20251024_Brandon_Williams_DAL_WAS,20251024_DAL_WAS,,0
Brice Sensabaugh,UTA,SAC,L,22.101666666666667,6,11,0.545,3,7,0.429,0,0,0.0,0,4,4,1,1,0,2,0,15,10.599999999999998,2025-10-24,20251024_Brice_Sensabaugh_UTA_SAC,20251024_SAC_UTA,,0
Bronny James,LAL,MIN,W,3.2333333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,2025-10-24,20251024_Bronny_James_LAL_MIN,20251024_LAL_MIN,,1
Brook Lopez,LAC,PHX,W,18.456666666666667,2,5,0.4,2,4,0.5,0,0,0.0,1,6,7,1,0,2,1,2,6,6.1000000000000005,2025-10-24,20251024_Brook_Lopez_LAC_PHX,20251024_LAC_PHX,,1
Bub Carrington,WAS,DAL,W,26.216666666666665,1,7,0.143,1,1,1.0,4,6,0.667,0,3,3,3,2,0,2,3,7,3.5,2025-10-24,20251024_Bub_Carrington_WAS_DAL,20251024_DAL_WAS,,1
Buddy Hield,GSW,POR,L,11.633333333333333,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,3,0,0,1,1,2,1.2999999999999998,2025-10-24,20251024_Buddy_Hield_GSW_POR,20251024_GSW_POR,,0
CJ McCollum,WAS,DAL,W,33.45,2,8,0.25,1,4,0.25,1,2,0.5,1,1,2,5,1,0,2,2,6,3.5,2025-10-24,20251024_CJ_McCollum_WAS_DAL,20251024_DAL_WAS,,1
Cade Cunningham,DET,HOU,W,39.295,7,16,0.438,3,8,0.375,4,5,0.8,1,6,7,9,0,1,8,3,21,12.5,2025-10-24,20251024_Cade_Cunningham_DET_HOU,20251024_DET_HOU,,1
Cam Christie,LAC,PHX,W,4.766666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-1.1,2025-10-24,20251024_Cam_Christie_LAC_PHX,20251024_LAC_PHX,,1
Cam Spencer,MEM,MIA,L,14.866666666666667,0,5,0.0,0,4,0.0,2,2,1.0,0,2,2,3,0,0,2,0,2,-0.8000000000000003,2025-10-24,20251024_Cam_Spencer_MEM_MIA,20251024_MEM_MIA,,0
Cam Thomas,BKN,CLE,L,34.498333333333335,12,24,0.5,3,11,0.273,6,6,1.0,0,2,2,9,0,0,3,3,33,23.700000000000003,2025-10-24,20251024_Cam_Thomas_BKN_CLE,20251024_BKN_CLE,,0
Cam Whitmore,WAS,DAL,W,16.166666666666668,3,9,0.333,0,3,0.0,2,2,1.0,1,2,3,1,1,0,1,0,8,4.9,2025-10-24,20251024_Cam_Whitmore_WAS_DAL,20251024_DAL_WAS,,1
Carter Bryant,SAS,NOP,W,3.466666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.3999999999999999,2025-10-24,20251024_Carter_Bryant_SAS_NOP,20251024_NOP_SAS,,1
Cedric Coward,MEM,MIA,L,22.2,5,9,0.556,2,5,0.4,4,4,1.0,0,2,2,2,2,0,0,2,16,14.9,2025-10-24,20251024_Cedric_Coward_MEM_MIA,20251024_MEM_MIA,,0
Chaz Lanier,DET,HOU,W,11.506666666666666,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,0,3,2.0,2025-10-24,20251024_Chaz_Lanier_DET_HOU,20251024_DET_HOU,,1
Chris Boucher,BOS,NYK,L,15.408333333333331,0,3,0.0,0,2,0.0,0,0,0.0,1,3,4,0,1,4,0,2,0,2.5,2025-10-24,20251024_Chris_Boucher_BOS_NYK,20251024_BOS_NYK,,0
Chris Paul,LAC,PHX,W,19.58333333333333,0,1,0.0,0,1,0.0,0,0,0.0,2,1,3,8,3,0,2,3,0,6.399999999999999,2025-10-24,20251024_Chris_Paul_LAC_PHX,20251024_LAC_PHX,,1
Christian Koloko,LAL,MIN,W,3.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2025-10-24,20251024_Christian_Koloko_LAL_MIN,20251024_LAL_MIN,,1
Clint Capela,HOU,DET,L,3.763333333333333,1,1,1.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,2,3.7,2025-10-24,20251024_Clint_Capela_HOU_DET,20251024_DET_HOU,,0
Cole Anthony,MIL,TOR,W,26.666666666666668,9,14,0.643,2,5,0.4,3,7,0.429,2,2,4,7,2,0,1,3,23,21.90000000000001,2025-10-24,20251024_Cole_Anthony_MIL_TOR,20251024_MIL_TOR,,1
Collin Gillespie,PHX,LAC,L,28.08333333333333,5,12,0.417,3,8,0.375,0,0,0.0,1,4,5,5,1,1,3,1,13,10.3,2025-10-24,20251024_Collin_Gillespie_PHX_LAC,20251024_LAC_PHX,,0
Cooper Flagg,DAL,WAS,L,34.656666666666666,6,14,0.429,2,5,0.4,4,4,1.0,1,4,5,6,1,1,5,3,18,12.199999999999996,2025-10-24,20251024_Cooper_Flagg_DAL_WAS,20251024_DAL_WAS,,0
Corey Kispert,WAS,DAL,W,21.316666666666663,3,5,0.6,1,3,0.333,0,1,0.0,0,4,4,4,0,0,0,3,7,7.099999999999999,2025-10-24,20251024_Corey_Kispert_WAS_DAL,20251024_DAL_WAS,,1
Craig Porter Jr.,CLE,BKN,W,14.413333333333334,6,6,1.0,2,2,1.0,0,0,0.0,0,2,2,2,1,0,0,0,14,15.2,2025-10-24,20251024_Craig_Porter_Jr._CLE_BKN,20251024_BKN_CLE,,1
D'Angelo Russell,DAL,WAS,L,8.493333333333334,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,3,0,0,0,0,1,1.2000000000000002,2025-10-24,20251024_D'Angelo_Russell_DAL_WAS,20251024_DAL_WAS,,0
Dalton Knecht,LAL,MIN,W,7.466666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,2025-10-24,20251024_Dalton_Knecht_LAL_MIN,20251024_LAL_MIN,,1
Daniss Jenkins,DET,HOU,W,5.216666666666667,1,3,0.333,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,5,3.3000000000000007,2025-10-24,20251024_Daniss_Jenkins_DET_HOU,20251024_DET_HOU,,1
Dario Šarić,SAC,UTA,W,15.7,1,2,0.5,1,2,0.5,2,2,1.0,0,2,2,2,0,0,0,0,5,6.0,2025-10-24,20251024_Dario_Šarić_SAC_UTA,20251024_SAC_UTA,,1
Davion Mitchell,MIA,MEM,W,20.55,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,6,0,0,3,2,2,1.6999999999999993,2025-10-24,20251024_Davion_Mitchell_MIA_MEM,20251024_MEM_MIA,,1
Day'Ron Sharpe,BKN,CLE,L,14.395,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,3,1,0,2,3,2,1.4999999999999991,2025-10-24,20251024_Day'Ron_Sharpe_BKN_CLE,20251024_BKN_CLE,,0
DeMar DeRozan,SAC,UTA,W,36.531666666666666,3,9,0.333,0,0,0.0,1,1,1.0,0,3,3,6,2,0,1,1,7,7.599999999999998,2025-10-24,20251024_DeMar_DeRozan_SAC_UTA,20251024_SAC_UTA,,1
Dean Wade,CLE,BKN,W,26.951666666666668,2,7,0.286,1,6,0.167,1,1,1.0,1,5,6,1,0,0,0,2,6,4.000000000000001,2025-10-24,20251024_Dean_Wade_CLE_BKN,20251024_BKN_CLE,,1
Deandre Ayton,LAL,MIN,W,30.871666666666663,7,11,0.636,0,0,0.0,1,2,0.5,3,5,8,0,0,1,2,3,15,10.8,2025-10-24,20251024_Deandre_Ayton_LAL_MIN,20251024_LAL_MIN,,1
Deni Avdija,POR,GSW,W,29.48333333333333,11,18,0.611,4,6,0.667,0,0,0.0,2,3,5,6,0,0,3,4,26,19.699999999999992,2025-10-24,20251024_Deni_Avdija_POR_GSW,20251024_GSW_POR,,1
Dennis Schröder,SAC,UTA,W,33.45,8,16,0.5,1,5,0.2,0,0,0.0,0,5,5,3,2,0,4,1,17,10.2,2025-10-24,20251024_Dennis_Schröder_SAC_UTA,20251024_SAC_UTA,,1
Dereck Lively II,DAL,WAS,L,19.28333333333333,4,5,0.8,0,0,0.0,0,0,0.0,2,4,6,2,2,1,2,1,8,10.4,2025-10-24,20251024_Dereck_Lively_II_DAL_WAS,20251024_DAL_WAS,,0
Derik Queen,NOP,SAS,L,34.745,6,11,0.545,0,1,0.0,3,4,0.75,1,5,6,1,1,2,1,6,15,11.199999999999998,2025-10-24,20251024_Derik_Queen_NOP_SAS,20251024_NOP_SAS,,0
Derrick Jones Jr.,LAC,PHX,W,23.226666666666667,6,6,1.0,5,5,1.0,0,0,0.0,1,3,4,2,1,1,0,2,17,19.099999999999994,2025-10-24,20251024_Derrick_Jones_Jr._LAC_PHX,20251024_LAC_PHX,,1
Derrick White,BOS,NYK,L,33.16166666666667,5,18,0.278,3,11,0.273,2,3,0.667,1,3,4,4,1,0,1,3,15,7.199999999999999,2025-10-24,20251024_Derrick_White_BOS_NYK,20251024_BOS_NYK,,0
Desmond Bane,ORL,ATL,L,33.43666666666667,5,14,0.357,1,7,0.143,4,5,0.8,2,5,7,5,0,0,3,2,15,9.4,2025-10-24,20251024_Desmond_Bane_ORL_ATL,20251024_ATL_ORL,,0
Devin Booker,PHX,LAC,L,27.926666666666662,5,10,0.5,1,4,0.25,7,7,1.0,0,3,3,7,0,0,3,2,18,15.0,2025-10-24,20251024_Devin_Booker_PHX_LAC,20251024_LAC_PHX,,0
Devin Vassell,SAS,NOP,W,39.81166666666667,8,19,0.421,6,14,0.429,1,2,0.5,1,4,5,1,1,0,4,4,23,10.499999999999998,2025-10-24,20251024_Devin_Vassell_SAS_NOP,20251024_NOP_SAS,,1
Dillon Brooks,PHX,LAC,L,26.566666666666663,7,17,0.412,5,10,0.5,2,2,1.0,3,0,3,2,2,0,4,5,21,11.4,2025-10-24,20251024_Dillon_Brooks_PHX_LAC,20251024_LAC_PHX,,0
Domantas Sabonis,SAC,UTA,W,36.63333333333333,6,9,0.667,0,1,0.0,0,1,0.0,3,9,12,1,0,0,2,3,12,10.0,2025-10-24,20251024_Domantas_Sabonis_SAC_UTA,20251024_SAC_UTA,,1
Donovan Clingan,POR,GSW,W,21.65,4,6,0.667,1,2,0.5,5,5,1.0,4,4,8,2,0,1,0,4,14,15.899999999999997,2025-10-24,20251024_Donovan_Clingan_POR_GSW,20251024_GSW_POR,,1
Donovan Mitchell,CLE,BKN,W,34.86666666666667,10,15,0.667,6,10,0.6,9,12,0.75,0,2,2,5,3,0,3,3,35,30.200000000000003,2025-10-24,20251024_Donovan_Mitchell_CLE_BKN,20251024_BKN_CLE,,1
Donte DiVincenzo,MIN,LAL,L,28.261666666666667,4,8,0.5,3,7,0.429,2,3,0.667,0,0,0,4,2,0,0,2,13,12.599999999999998,2025-10-24,20251024_Donte_DiVincenzo_MIN_LAL,20251024_LAL_MIN,,0
Draymond Green,GSW,POR,L,20.53333333333333,4,7,0.571,3,4,0.75,1,2,0.5,0,3,3,5,0,0,5,4,12,6.1,2025-10-24,20251024_Draymond_Green_GSW_POR,20251024_GSW_POR,,0
Drew Eubanks,SAC,UTA,W,11.366666666666667,0,5,0.0,0,1,0.0,0,2,0.0,0,2,2,1,0,1,0,0,0,-2.3,2025-10-24,20251024_Drew_Eubanks_SAC_UTA,20251024_SAC_UTA,,1
Dru Smith,MIA,MEM,W,20.58333333333333,4,8,0.5,2,3,0.667,0,0,0.0,2,1,3,5,3,1,1,2,10,13.099999999999998,2025-10-24,20251024_Dru_Smith_MIA_MEM,20251024_MEM_MIA,,1
Duncan Robinson,DET,HOU,W,38.225,5,9,0.556,4,8,0.5,3,3,1.0,2,1,3,2,0,3,0,4,17,16.299999999999997,2025-10-24,20251024_Duncan_Robinson_DET_HOU,20251024_DET_HOU,,1
Duop Reath,POR,GSW,W,2.933333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0.7,2025-10-24,20251024_Duop_Reath_POR_GSW,20251024_GSW_POR,,1
Dwight Powell,DAL,WAS,L,0.2766666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-24,20251024_Dwight_Powell_DAL_WAS,20251024_DAL_WAS,,0
Dylan Harper,SAS,NOP,W,25.605,3,12,0.25,1,5,0.2,6,6,1.0,1,4,5,3,1,0,3,5,13,5.800000000000001,2025-10-24,20251024_Dylan_Harper_SAS_NOP,20251024_NOP_SAS,,1
Dyson Daniels,ATL,ORL,W,32.14833333333333,3,7,0.429,0,0,0.0,0,2,0.0,0,9,9,4,2,1,2,4,6,6.1,2025-10-24,20251024_Dyson_Daniels_ATL_ORL,20251024_ATL_ORL,,1
Egor Dëmin,BKN,CLE,L,24.591666666666665,3,5,0.6,3,5,0.6,0,0,0.0,1,5,6,4,0,0,3,4,9,7.1,2025-10-24,20251024_Egor_Dëmin_BKN_CLE,20251024_BKN_CLE,,0
Evan Mobley,CLE,BKN,W,34.225,5,12,0.417,1,4,0.25,2,4,0.5,3,5,8,5,0,2,3,2,13,10.500000000000002,2025-10-24,20251024_Evan_Mobley_CLE_BKN,20251024_BKN_CLE,,1
Franz Wagner,ORL,ATL,L,35.1,10,17,0.588,2,5,0.4,5,6,0.833,2,4,6,2,1,0,4,5,27,17.7,2025-10-24,20251024_Franz_Wagner_ORL_ATL,20251024_ATL_ORL,,0
GG Jackson,MEM,MIA,L,16.25,2,7,0.286,0,3,0.0,1,2,0.5,1,1,2,0,1,0,0,1,5,2.1,2025-10-24,20251024_GG_Jackson_MEM_MIA,20251024_MEM_MIA,,0
Gabe Vincent,LAL,MIN,W,24.1,2,5,0.4,1,3,0.333,0,0,0.0,1,1,2,5,1,0,0,3,5,6.6,2025-10-24,20251024_Gabe_Vincent_LAL_MIN,20251024_LAL_MIN,,1
Gary Payton II,GSW,POR,L,7.013333333333334,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.3999999999999999,2025-10-24,20251024_Gary_Payton_II_GSW_POR,20251024_GSW_POR,,0
Gary Trent Jr.,MIL,TOR,W,29.4,7,15,0.467,4,11,0.364,2,4,0.5,0,2,2,4,0,0,1,5,20,11.9,2025-10-24,20251024_Gary_Trent_Jr._MIL_TOR,20251024_MIL_TOR,,1
Giannis Antetokounmpo,MIL,TOR,W,37.6,11,14,0.786,2,2,1.0,7,12,0.583,7,13,20,7,0,1,5,2,31,32.2,2025-10-24,20251024_Giannis_Antetokounmpo_MIL_TOR,20251024_MIL_TOR,,1
Goga Bitadze,ORL,ATL,L,16.883333333333333,1,3,0.333,0,1,0.0,1,1,1.0,2,3,5,0,0,2,0,2,3,4.2,2025-10-24,20251024_Goga_Bitadze_ORL_ATL,20251024_ATL_ORL,,0
Gradey Dick,TOR,MIL,L,17.6,2,7,0.286,1,3,0.333,0,0,0.0,1,3,4,1,1,0,1,1,5,2.8000000000000003,2025-10-24,20251024_Gradey_Dick_TOR_MIL,20251024_MIL_TOR,,0
Grayson Allen,PHX,LAC,L,28.716666666666665,4,12,0.333,3,9,0.333,1,1,1.0,1,0,1,5,1,1,0,2,12,10.3,2025-10-24,20251024_Grayson_Allen_PHX_LAC,20251024_LAC_PHX,,0
Guerschon Yabusele,NYK,BOS,W,13.148333333333332,1,2,0.5,1,2,0.5,0,0,0.0,3,2,5,1,0,0,0,0,3,5.4,2025-10-24,20251024_Guerschon_Yabusele_NYK_BOS,20251024_BOS_NYK,,1
Gui Santos,GSW,POR,L,10.95,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,1,1,0,2,2,3,1.6000000000000003,2025-10-24,20251024_Gui_Santos_GSW_POR,20251024_GSW_POR,,0
Harrison Barnes,SAS,NOP,W,34.215,2,5,0.4,1,3,0.333,2,2,1.0,0,1,1,5,1,2,0,2,7,9.7,2025-10-24,20251024_Harrison_Barnes_SAS_NOP,20251024_NOP_SAS,,1
Herbert Jones,NOP,SAS,L,28.365,0,8,0.0,0,5,0.0,0,0,0.0,2,5,7,2,1,0,2,5,0,-4.299999999999999,2025-10-24,20251024_Herbert_Jones_NOP_SAS,20251024_NOP_SAS,,0
Hugo González,BOS,NYK,L,22.605,3,6,0.5,0,2,0.0,0,0,0.0,1,3,4,1,2,0,0,4,6,5.700000000000001,2025-10-24,20251024_Hugo_González_BOS_NYK,20251024_BOS_NYK,,0
Immanuel Quickley,TOR,MIL,L,36.5,6,14,0.429,1,4,0.25,6,10,0.6,3,4,7,8,2,0,2,2,19,18.1,2025-10-24,20251024_Immanuel_Quickley_TOR_MIL,20251024_MIL_TOR,,0
Isaac Jones,SAC,UTA,W,14.0,1,2,0.5,0,1,0.0,0,0,0.0,2,0,2,1,0,0,0,4,2,1.4999999999999996,2025-10-24,20251024_Isaac_Jones_SAC_UTA,20251024_SAC_UTA,,1
Isaiah Stewart,DET,HOU,W,17.383333333333333,1,4,0.25,1,3,0.333,1,4,0.25,1,3,4,0,0,2,1,6,4,-4.440892098500626e-16,2025-10-24,20251024_Isaiah_Stewart_DET_HOU,20251024_DET_HOU,,1
Ivica Zubac,LAC,PHX,W,24.666666666666668,3,5,0.6,0,0,0.0,2,3,0.667,0,5,5,4,0,0,3,2,8,5.799999999999997,2025-10-24,20251024_Ivica_Zubac_LAC_PHX,20251024_LAC_PHX,,1
Ja Morant,MEM,MIA,L,21.6,4,16,0.25,0,4,0.0,4,4,1.0,1,1,2,6,0,0,3,2,12,3.8,2025-10-24,20251024_Ja_Morant_MEM_MIA,20251024_MEM_MIA,,0
Jabari Smith Jr.,HOU,DET,L,39.86666666666667,3,14,0.214,3,9,0.333,2,2,1.0,0,6,6,2,1,1,2,4,11,3.6999999999999993,2025-10-24,20251024_Jabari_Smith_Jr._HOU_DET,20251024_DET_HOU,,0
Jaden Hardy,DAL,WAS,L,11.293333333333331,3,7,0.429,2,5,0.4,1,2,0.5,0,1,1,0,0,0,0,1,9,4.799999999999999,2025-10-24,20251024_Jaden_Hardy_DAL_WAS,20251024_DAL_WAS,,0
Jaden McDaniels,MIN,LAL,L,27.03333333333333,5,12,0.417,0,4,0.0,0,0,0.0,1,1,2,0,0,1,0,5,10,3.3000000000000016,2025-10-24,20251024_Jaden_McDaniels_MIN_LAL,20251024_LAL_MIN,,0
Jahmir Young,MIA,MEM,W,6.866666666666666,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,-0.0999999999999997,2025-10-24,20251024_Jahmir_Young_MIA_MEM,20251024_MEM_MIA,,1
Jaime Jaquez Jr.,MIA,MEM,W,26.933333333333334,8,12,0.667,0,1,0.0,1,1,1.0,3,7,10,6,2,0,3,2,17,18.4,2025-10-24,20251024_Jaime_Jaquez_Jr._MIA_MEM,20251024_MEM_MIA,,1
Jake LaRavia,LAL,MIN,W,27.701666666666668,2,3,0.667,1,2,0.5,1,2,0.5,0,0,0,1,1,0,1,2,6,4.2,2025-10-24,20251024_Jake_LaRavia_LAL_MIN,20251024_LAL_MIN,,1
Jakob Poeltl,TOR,MIL,L,26.566666666666663,3,5,0.6,0,0,0.0,0,2,0.0,2,3,5,2,0,0,1,5,6,3.6000000000000014,2025-10-24,20251024_Jakob_Poeltl_TOR_MIL,20251024_MIL_TOR,,0
Jalen Brunson,NYK,BOS,W,34.766666666666666,10,20,0.5,3,7,0.429,8,9,0.889,0,3,3,5,0,0,1,1,31,23.6,2025-10-24,20251024_Jalen_Brunson_NYK_BOS,20251024_BOS_NYK,,1
Jalen Duren,DET,HOU,W,12.0,3,4,0.75,0,0,0.0,0,0,0.0,3,3,6,0,1,1,1,2,6,7.299999999999999,2025-10-24,20251024_Jalen_Duren_DET_HOU,20251024_DET_HOU,,1
Jalen Johnson,ATL,ORL,W,25.966666666666665,5,10,0.5,0,0,0.0,2,2,1.0,2,6,8,1,1,0,3,5,12,6.899999999999999,2025-10-24,20251024_Jalen_Johnson_ATL_ORL,20251024_ATL_ORL,,1
Jalen Suggs,ORL,ATL,L,19.131666666666668,4,5,0.8,3,4,0.75,0,0,0.0,0,3,3,4,0,0,4,4,11,7.200000000000001,2025-10-24,20251024_Jalen_Suggs_ORL_ATL,20251024_ATL_ORL,,0
Jamal Shead,TOR,MIL,L,11.5,1,6,0.167,0,2,0.0,2,2,1.0,0,0,0,4,1,0,0,0,4,4.000000000000001,2025-10-24,20251024_Jamal_Shead_TOR_MIL,20251024_MIL_TOR,,0
James Harden,LAC,PHX,W,28.416666666666668,8,12,0.667,5,7,0.714,9,9,1.0,0,7,7,7,0,1,4,2,30,27.700000000000006,2025-10-24,20251024_James_Harden_LAC_PHX,20251024_LAC_PHX,,1
Jamison Battle,TOR,MIL,L,10.55,3,3,1.0,3,3,1.0,0,0,0.0,0,2,2,0,1,0,1,1,9,8.299999999999999,2025-10-24,20251024_Jamison_Battle_TOR_MIL,20251024_MIL_TOR,,0
Jaren Jackson Jr.,MEM,MIA,L,21.383333333333333,7,14,0.5,1,4,0.25,4,4,1.0,0,3,3,1,1,1,3,4,19,10.7,2025-10-24,20251024_Jaren_Jackson_Jr._MEM_MIA,20251024_MEM_MIA,,0
Jarred Vanderbilt,LAL,MIN,W,19.6,0,2,0.0,0,1,0.0,2,2,1.0,1,6,7,0,2,2,1,2,2,4.7,2025-10-24,20251024_Jarred_Vanderbilt_LAL_MIN,20251024_LAL_MIN,,1
Jarrett Allen,CLE,BKN,W,30.40833333333333,8,11,0.727,0,1,0.0,6,9,0.667,2,5,7,4,2,1,2,2,22,21.9,2025-10-24,20251024_Jarrett_Allen_CLE_BKN,20251024_BKN_CLE,,1
Javon Small,MEM,MIA,L,22.03333333333333,2,9,0.222,2,6,0.333,3,4,0.75,0,2,2,8,0,0,3,2,9,5.5,2025-10-24,20251024_Javon_Small_MEM_MIA,20251024_MEM_MIA,,0
Javonte Green,DET,HOU,W,19.95833333333333,2,6,0.333,1,2,0.5,2,3,0.667,0,4,4,2,1,0,1,0,7,5.800000000000001,2025-10-24,20251024_Javonte_Green_DET_HOU,20251024_DET_HOU,,1
Jaylen Brown,BOS,NYK,L,35.461666666666666,9,18,0.5,3,7,0.429,2,4,0.5,0,4,4,3,1,1,7,5,23,9.2,2025-10-24,20251024_Jaylen_Brown_BOS_NYK,20251024_BOS_NYK,,0
Jaylen Clark,MIN,LAL,L,13.455,3,5,0.6,1,1,1.0,2,2,1.0,2,1,3,1,0,0,0,4,9,7.5,2025-10-24,20251024_Jaylen_Clark_MIN_LAL,20251024_LAL_MIN,,0
Jaylen Wells,MEM,MIA,L,22.48333333333333,3,9,0.333,3,7,0.429,0,0,0.0,1,3,4,1,0,0,1,2,9,4.4,2025-10-24,20251024_Jaylen_Wells_MEM_MIA,20251024_MEM_MIA,,0
Jaylon Tyson,CLE,BKN,W,22.586666666666662,3,4,0.75,2,3,0.667,0,0,0.0,1,3,4,1,3,1,1,3,8,10.2,2025-10-24,20251024_Jaylon_Tyson_CLE_BKN,20251024_BKN_CLE,,1
