player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Simone Fontecchio,MIA,ORL,L,18.966666666666665,6,9,0.667,1,3,0.333,0,0,0.0,1,1,2,1,0,0,1,2,13,9.0,2025-10-22,20251022_Simone_Fontecchio_MIA_ORL,20251022_MIA_ORL,,0
Sion James,CHA,BKN,W,16.616666666666667,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,2,0,1,0,2,2,3.2,2025-10-22,20251022_Sion_James_CHA_BKN,20251022_BKN_CHA,,1
Stephon Castle,SAS,DAL,W,28.53333333333333,8,12,0.667,1,3,0.333,5,10,0.5,2,5,7,6,2,0,5,2,22,18.1,2025-10-22,20251022_Stephon_Castle_SAS_DAL,20251022_DAL_SAS,,1
Svi Mykhailiuk,UTA,LAC,W,24.426666666666662,3,4,0.75,3,4,0.75,0,0,0.0,0,1,1,3,1,0,0,0,9,10.8,2025-10-22,20251022_Svi_Mykhailiuk_UTA_LAC,20251022_LAC_UTA,,1
Taurean Prince,MIL,WAS,W,21.95,4,5,0.8,3,4,0.75,0,0,0.0,0,1,1,2,1,0,0,2,11,11.0,2025-10-22,20251022_Taurean_Prince_MIL_WAS,20251022_MIL_WAS,,1
Taylor Hendricks,UTA,LAC,W,18.7,4,6,0.667,2,3,0.667,3,4,0.75,2,4,6,0,1,1,2,1,13,11.9,2025-10-22,20251022_Taylor_Hendricks_UTA_LAC,20251022_LAC_UTA,,1
Terance Mann,BKN,CHA,L,19.45,4,6,0.667,2,3,0.667,3,3,1.0,1,0,1,1,1,0,1,4,13,10.2,2025-10-22,20251022_Terance_Mann_BKN_CHA,20251022_BKN_CHA,,0
Terrence Shannon Jr.,MIN,POR,W,25.466666666666665,4,7,0.571,2,2,1.0,0,0,0.0,1,4,5,5,1,0,2,3,10,9.9,2025-10-22,20251022_Terrence_Shannon_Jr._MIN_POR,20251022_MIN_POR,,1
Thanasis Antetokounmpo,MIL,WAS,W,1.7,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2025-10-22,20251022_Thanasis_Antetokounmpo_MIL_WAS,20251022_MIL_WAS,,1
Tidjane Salaün,CHA,BKN,W,17.151666666666667,4,7,0.571,2,3,0.667,0,0,0.0,0,4,4,1,0,0,0,2,10,7.8,2025-10-22,20251022_Tidjane_Salaün_CHA_BKN,20251022_BKN_CHA,,1
Tobias Harris,DET,CHI,L,34.4,4,12,0.333,1,3,0.333,1,1,1.0,2,7,9,4,1,0,0,2,10,9.7,2025-10-22,20251022_Tobias_Harris_DET_CHI,20251022_CHI_DET,,0
Toumani Camara,POR,MIN,L,34.733333333333334,3,9,0.333,2,5,0.4,2,2,1.0,4,5,9,5,0,0,0,1,10,12.3,2025-10-22,20251022_Toumani_Camara_POR_MIN,20251022_MIN_POR,,0
Trae Young,ATL,TOR,L,34.3,5,14,0.357,1,7,0.143,11,13,0.846,0,1,1,5,1,0,2,4,22,14.6,2025-10-22,20251022_Trae_Young_ATL_TOR,20251022_ATL_TOR,,0
Tre Johnson,WAS,MIL,L,26.23333333333333,5,11,0.455,4,8,0.5,2,2,1.0,2,3,5,2,1,1,4,1,16,11.3,2025-10-22,20251022_Tre_Johnson_WAS_MIL,20251022_MIL_WAS,,0
Tre Jones,CHI,DET,W,31.633333333333333,5,8,0.625,1,1,1.0,1,2,0.5,0,1,1,8,3,0,2,3,12,13.7,2025-10-22,20251022_Tre_Jones_CHI_DET,20251022_CHI_DET,,1
