Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Baylor Scheierman,BOS,NYK,L,4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,2025-10-24
Ben Saraf,BKN,CLE,L,18,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,3,2,2,-2.1,2025-10-24
Blake Wesley,POR,GSW,W,20,2,6,0.333,0,2,0.0,0,0,,1,1,2,4,2,0,2,3,4,3.2,2025-10-24
Bobby Portis,MIL,TOR,W,21,5,13,0.385,1,5,0.2,0,0,,3,5,8,0,0,0,1,3,11,5.3,2025-10-24
Bones Hyland,MIN,LAL,L,16,4,6,0.667,1,3,0.333,0,0,,0,0,0,2,1,0,0,1,9,8.4,2025-10-24
Bradley Beal,LAC,PHX,W,20,2,4,0.5,0,0,,2,2,1.0,1,0,1,2,0,0,1,1,6,4.7,2025-10-24
Brandin Podziemski,GSW,POR,L,22,2,9,0.222,1,3,0.333,3,4,0.75,1,4,5,0,2,0,2,1,8,3.6,2025-10-24
Brandon Ingram,TOR,MIL,L,37,10,20,0.5,3,7,0.429,6,7,0.857,1,5,6,3,0,1,4,1,29,19.2,2025-10-24
Brandon Williams,DAL,WAS,L,7,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,0,1,0,-0.1,2025-10-24
Brice Sensabaugh,UTA,SAC,L,22,6,11,0.545,3,7,0.429,0,0,,0,4,4,1,1,0,2,0,15,10.6,2025-10-24
Bronny James,LAL,MIN,W,3,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,2025-10-24
Brook Lopez,LAC,PHX,W,18,2,5,0.4,2,4,0.5,0,0,,1,6,7,1,0,2,1,2,6,6.1,2025-10-24
Bub Carrington,WAS,DAL,W,26,1,7,0.143,1,1,1.0,4,6,0.667,0,3,3,3,2,0,2,3,7,3.5,2025-10-24
Buddy Hield,GSW,POR,L,12,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,3,0,0,1,1,2,1.3,2025-10-24
CJ McCollum,WAS,DAL,W,33,2,8,0.25,1,4,0.25,1,2,0.5,1,1,2,5,1,0,2,2,6,3.5,2025-10-24
Cade Cunningham,DET,HOU,W,39,7,16,0.438,3,8,0.375,4,5,0.8,1,6,7,9,0,1,8,3,21,12.5,2025-10-24
Cam Christie,LAC,PHX,W,5,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1.1,2025-10-24
Cam Spencer,MEM,MIA,L,15,0,5,0.0,0,4,0.0,2,2,1.0,0,2,2,3,0,0,2,0,2,-0.8,2025-10-24
Cam Thomas,BKN,CLE,L,34,12,24,0.5,3,11,0.273,6,6,1.0,0,2,2,9,0,0,3,3,33,23.7,2025-10-24
Cam Whitmore,WAS,DAL,W,16,3,9,0.333,0,3,0.0,2,2,1.0,1,2,3,1,1,0,1,0,8,4.9,2025-10-24
Carter Bryant,SAS,NOP,W,3,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,2025-10-24
Cedric Coward,MEM,MIA,L,22,5,9,0.556,2,5,0.4,4,4,1.0,0,2,2,2,2,0,0,2,16,14.9,2025-10-24
Chaz Lanier,DET,HOU,W,12,1,3,0.333,1,3,0.333,0,0,,0,0,0,1,0,0,0,0,3,2.0,2025-10-24
Chris Boucher,BOS,NYK,L,15,0,3,0.0,0,2,0.0,0,0,,1,3,4,0,1,4,0,2,0,2.5,2025-10-24
