Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Pat Connaughton,CHA,WAS,W,2,2,2,1.0,0,0,,0,1,0.0,0,0,0,1,0,0,0,0,4,3.7,2025-10-26
Payton Pritchard,BOS,DET,L,34,8,16,0.5,2,8,0.25,3,5,0.6,3,7,10,4,0,0,1,1,21,17.8,2025-10-26
Pelle Larsson,MIA,NYK,W,5,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-0.1,2025-10-26
Quenton Jackson,IND,MIN,L,10,1,2,0.5,1,1,1.0,1,2,0.5,0,2,2,0,0,0,1,1,4,1.8,2025-10-26
RJ Barrett,TOR,DAL,L,28,7,13,0.538,1,3,0.333,1,2,0.5,0,4,4,3,0,0,1,4,16,10.0,2025-10-26
RayJ Dennis,IND,MIN,L,27,5,9,0.556,2,4,0.5,0,0,,2,0,2,5,2,3,3,3,12,12.5,2025-10-26
Ronald Holland II,DET,BOS,W,19,3,9,0.333,0,4,0.0,1,1,1.0,0,1,1,1,2,1,3,2,7,1.8,2025-10-26
Rudy Gobert,MIN,IND,W,34,6,7,0.857,0,0,,2,7,0.286,4,14,18,1,0,2,1,2,14,16.8,2025-10-26
Rui Hachimura,LAL,SAC,W,40,7,10,0.7,0,1,0.0,4,4,1.0,0,3,3,2,2,0,2,3,18,14.9,2025-10-26
Russell Westbrook,SAC,LAL,L,27,6,12,0.5,4,6,0.667,2,6,0.333,4,2,6,6,1,0,2,1,18,16.6,2025-10-26
Ryan Kalkbrenner,CHA,WAS,W,22,2,3,0.667,0,0,,0,0,,2,3,5,1,0,0,1,2,4,3.9,2025-10-26
Ryan Nembhard,DAL,TOR,W,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,2025-10-26
Ryan Rollins,MIL,CLE,L,34,5,11,0.455,1,5,0.2,3,3,1.0,2,2,4,8,3,0,2,3,14,15.7,2025-10-26
Sam Hauser,BOS,DET,L,24,3,7,0.429,2,5,0.4,0,0,,1,3,4,0,0,0,1,1,8,4.5,2025-10-26
Sam Merrill,CLE,MIL,W,30,5,11,0.455,4,9,0.444,3,3,1.0,1,2,3,1,0,0,0,3,17,12.1,2025-10-26
Sandro Mamukelashvili,TOR,DAL,L,22,6,8,0.75,1,3,0.333,3,3,1.0,0,1,1,3,0,0,0,1,16,14.8,2025-10-26
Scottie Barnes,TOR,DAL,L,34,13,24,0.542,3,5,0.6,4,5,0.8,4,7,11,6,1,0,5,4,33,24.5,2025-10-26
Shaedon Sharpe,POR,LAC,L,32,7,24,0.292,1,9,0.111,4,4,1.0,4,1,5,1,2,0,6,1,19,4.4,2025-10-26
Sharife Cooper,WAS,CHA,L,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-26
Simone Fontecchio,MIA,NYK,W,19,5,8,0.625,3,5,0.6,1,2,0.5,1,3,4,1,0,0,0,2,14,11.5,2025-10-26
Sion James,CHA,WAS,W,20,4,7,0.571,3,4,0.75,2,2,1.0,0,0,0,3,2,1,0,0,13,14.5,2025-10-26
Stephon Castle,SAS,BKN,W,30,5,10,0.5,0,2,0.0,3,5,0.6,2,4,6,3,0,0,5,4,13,5.3,2025-10-26
Taurean Prince,MIL,CLE,L,31,3,6,0.5,2,3,0.667,0,0,,0,3,3,1,3,1,1,5,8,7.3,2025-10-26
Terance Mann,BKN,SAS,L,31,3,7,0.429,1,3,0.333,0,0,,3,3,6,3,2,0,0,2,7,9.6,2025-10-26
Terrence Shannon Jr.,MIN,IND,W,10,1,3,0.333,1,1,1.0,0,0,,0,4,4,0,1,0,1,0,3,2.5,2025-10-26
Tidjane Salaün,CHA,WAS,W,16,1,1,1.0,1,1,1.0,1,2,0.5,1,6,7,1,2,1,0,3,4,8.0,2025-10-26
Tobias Harris,DET,BOS,W,35,7,14,0.5,2,7,0.286,2,2,1.0,2,6,8,4,0,0,1,3,18,14.8,2025-10-26
Tony Bradley,IND,MIN,L,25,6,7,0.857,0,0,,0,0,,4,1,5,1,1,1,0,4,12,13.4,2025-10-26
Toumani Camara,POR,LAC,L,33,2,8,0.25,0,3,0.0,1,2,0.5,0,2,2,4,1,0,0,3,5,3.0,2025-10-26
Tre Johnson,WAS,CHA,L,29,6,14,0.429,2,7,0.286,2,2,1.0,1,3,4,2,0,1,0,4,16,10.7,2025-10-26
Tre Mann,CHA,WAS,W,12,0,4,0.0,0,2,0.0,0,0,,0,2,2,0,1,0,0,2,0,-2.0,2025-10-26
Tristan Vukcevic,WAS,CHA,L,11,2,3,0.667,1,1,1.0,1,2,0.5,0,2,2,0,0,0,0,2,6,4.1,2025-10-26
Tyler Kolek,NYK,MIA,L,10,2,6,0.333,1,4,0.25,0,0,,1,0,1,0,0,0,1,1,5,0.9,2025-10-26
Tyrese Martin,BKN,SAS,L,12,1,4,0.25,0,2,0.0,2,2,1.0,1,1,2,3,0,0,1,1,4,3.3,2025-10-26
Victor Wembanyama,SAS,BKN,W,36,9,21,0.429,3,6,0.5,10,15,0.667,1,13,14,4,3,6,2,3,31,29.3,2025-10-26
Will Riley,WAS,CHA,L,9,2,5,0.4,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,5,2.6,2025-10-26
Yang Hansen,POR,LAC,L,4,0,1,0.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,0,1,2,1.6,2025-10-26
Zach LaVine,SAC,LAL,L,40,12,24,0.5,4,9,0.444,4,4,1.0,1,3,4,0,0,0,2,1,32,19.2,2025-10-26
Ziaire Williams,BKN,SAS,L,13,1,4,0.25,1,4,0.25,2,2,1.0,1,0,1,0,1,0,0,5,5,2.3,2025-10-26
Aaron Gordon,DEN,MIN,W,33,3,10,0.3,0,2,0.0,3,3,1.0,0,3,3,3,0,0,2,3,9,3.0,2025-10-27
Aaron Holiday,HOU,BKN,W,7,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,5,3.7,2025-10-27
Aaron Wiggins,OKC,DAL,W,27,5,12,0.417,1,6,0.167,0,0,,0,3,3,3,0,0,1,2,11,5.8,2025-10-27
Ace Bailey,UTA,PHX,W,14,2,9,0.222,2,5,0.4,0,0,,1,0,1,1,0,0,0,1,6,1.5,2025-10-27
Adem Bona,PHI,ORL,W,25,2,3,0.667,0,0,,3,5,0.6,2,2,4,1,0,3,0,2,7,8.9,2025-10-27
Ajay Mitchell,OKC,DAL,W,27,7,14,0.5,0,4,0.0,3,3,1.0,2,5,7,1,1,0,2,3,17,11.4,2025-10-27
Alperen Sengun,HOU,BKN,W,30,7,11,0.636,2,2,1.0,5,5,1.0,2,4,6,6,1,0,3,0,21,20.9,2025-10-27
Amen Thompson,HOU,BKN,W,25,5,10,0.5,0,1,0.0,2,3,0.667,0,4,4,8,1,0,0,3,12,13.2,2025-10-27
Andre Drummond,PHI,ORL,W,23,2,4,0.5,0,1,0.0,0,2,0.0,4,2,6,1,1,2,0,3,4,6.5,2025-10-27
Anfernee Simons,BOS,NOP,W,32,9,17,0.529,6,13,0.462,1,1,1.0,2,4,6,1,1,0,2,3,25,17.8,2025-10-27
Anthony Black,ORL,PHI,L,30,5,10,0.5,1,3,0.333,3,7,0.429,1,2,3,2,1,1,3,2,14,8.0,2025-10-27
Anthony Davis,DAL,OKC,L,38,10,16,0.625,1,2,0.5,5,5,1.0,3,8,11,3,0,1,1,4,26,23.5,2025-10-27
Ausar Thompson,DET,CLE,L,15,3,6,0.5,0,1,0.0,0,1,0.0,1,2,3,0,0,0,1,4,6,1.3,2025-10-27
Austin Reaves,LAL,POR,L,39,13,22,0.591,3,8,0.375,12,14,0.857,0,4,4,5,3,0,8,2,41,28.9,2025-10-27
Ayo Dosunmu,CHI,ATL,W,27,7,10,0.7,4,6,0.667,3,4,0.75,0,3,3,2,0,0,0,2,21,17.9,2025-10-27
Baylor Scheierman,BOS,NOP,W,14,1,3,0.333,1,3,0.333,0,0,,0,6,6,0,1,0,0,0,3,4.1,2025-10-27
Ben Saraf,BKN,HOU,L,25,2,8,0.25,2,5,0.4,0,0,,0,1,1,5,1,0,2,2,6,3.2,2025-10-27
Bismack Biyombo,SAS,TOR,W,14,1,1,1.0,0,0,,0,0,,0,1,1,1,1,0,0,3,2,2.5,2025-10-27
Blake Wesley,POR,LAL,W,16,2,4,0.5,0,0,,0,0,,0,1,1,3,0,0,1,3,4,2.2,2025-10-27
Bobi Klintman,DET,CLE,L,7,1,2,0.5,0,0,,0,1,0.0,1,2,3,0,2,0,0,0,2,3.9,2025-10-27
Bones Hyland,MIN,DEN,L,16,1,6,0.167,1,5,0.2,1,2,0.5,0,2,2,1,0,0,2,2,4,-1.7,2025-10-27
Brandin Podziemski,GSW,MEM,W,32,8,14,0.571,5,7,0.714,2,4,0.5,2,2,4,6,1,0,0,3,23,21.6,2025-10-27
Brandon Ingram,TOR,SAS,L,32,5,11,0.455,0,3,0.0,4,4,1.0,0,3,3,5,0,0,0,3,14,11.5,2025-10-27
Brice Sensabaugh,UTA,PHX,W,12,1,5,0.2,0,4,0.0,1,1,1.0,0,2,2,1,0,0,1,1,3,-0.2,2025-10-27
Bronny James,LAL,POR,L,20,0,2,0.0,0,0,,0,0,,1,2,3,3,1,1,3,3,0,-0.5,2025-10-27
Brooks Barnhizer,OKC,DAL,W,6,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,2025-10-27
Bruce Brown,DEN,MIN,W,13,1,4,0.25,0,0,,0,0,,2,3,5,0,0,0,1,3,2,-0.3,2025-10-27
Bryce McGowens,NOP,BOS,L,3,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,2025-10-27
Buddy Hield,GSW,MEM,W,18,2,7,0.286,0,5,0.0,1,1,1.0,1,1,2,2,1,0,0,3,5,3.1,2025-10-27
Cade Cunningham,DET,CLE,L,29,3,14,0.214,1,7,0.143,5,6,0.833,2,3,5,4,0,1,5,3,12,2.6,2025-10-27
Caleb Love,POR,LAL,W,11,2,10,0.2,1,5,0.2,0,0,,0,4,4,1,0,0,0,0,5,0.7,2025-10-27
Caleb Martin,DAL,OKC,L,5,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,1,2,0,-1.5,2025-10-27
Cam Spencer,MEM,GSW,L,14,3,3,1.0,3,3,1.0,2,2,1.0,1,1,2,3,1,0,2,3,11,11.0,2025-10-27
Cam Thomas,BKN,HOU,L,25,3,9,0.333,1,2,0.5,2,5,0.4,0,1,1,2,1,0,2,1,9,3.0,2025-10-27
Cameron Johnson,DEN,MIN,W,19,2,5,0.4,1,3,0.333,0,0,,0,2,2,2,0,0,2,5,5,0.3,2025-10-27
Carter Bryant,SAS,TOR,W,11,1,3,0.333,1,1,1.0,0,0,,0,0,0,0,0,1,2,1,3,-0.4,2025-10-27
Cason Wallace,OKC,DAL,W,33,2,9,0.222,0,5,0.0,0,0,,1,4,5,5,1,0,1,2,4,3.1,2025-10-27
Cedric Coward,MEM,GSW,L,25,4,6,0.667,1,3,0.333,0,0,,1,3,4,2,0,1,1,3,9,7.9,2025-10-27
Chaz Lanier,DET,CLE,L,12,2,5,0.4,2,4,0.5,0,0,,1,0,1,0,0,0,1,0,6,3.0,2025-10-27
Chet Holmgren,OKC,DAL,W,32,6,10,0.6,2,5,0.4,4,6,0.667,1,10,11,2,0,4,3,4,18,15.9,2025-10-27
Chris Boucher,BOS,NOP,W,3,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.1,2025-10-27
Chris Mañon,LAL,POR,L,4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,2025-10-27
Chris Youngblood,OKC,DAL,W,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-27
Christian Braun,DEN,MIN,W,27,3,9,0.333,1,3,0.333,0,0,,1,2,3,2,2,0,0,1,7,6.2,2025-10-27
Christian Koloko,LAL,POR,L,3,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,2025-10-27
Clint Capela,HOU,BKN,W,14,4,4,1.0,0,0,,0,0,,0,1,1,0,0,2,0,3,8,7.3,2025-10-27
Colby Jones,DET,CLE,L,7,1,3,0.333,0,2,0.0,0,0,,0,4,4,2,0,0,0,1,2,2.5,2025-10-27
Collin Gillespie,PHX,UTA,L,32,5,13,0.385,4,12,0.333,1,1,1.0,0,3,3,13,3,1,3,1,15,18.2,2025-10-27
Collin Murray-Boyles,TOR,SAS,L,24,7,13,0.538,3,5,0.6,2,4,0.5,1,2,3,1,3,1,2,2,19,14.8,2025-10-27
Cooper Flagg,DAL,OKC,L,31,1,9,0.111,0,3,0.0,0,0,,0,2,2,0,2,0,0,0,2,-1.3,2025-10-27
Craig Porter Jr.,CLE,DET,W,24,1,4,0.25,0,2,0.0,2,3,0.667,3,4,7,3,3,0,1,0,4,8.6,2025-10-27
D'Angelo Russell,DAL,OKC,L,30,3,14,0.214,1,8,0.125,2,4,0.5,0,2,2,10,0,1,2,1,9,5.5,2025-10-27
DaRon Holmes II,DEN,MIN,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-27
Dalton Knecht,LAL,POR,L,25,5,13,0.385,2,8,0.25,4,4,1.0,0,2,2,1,2,1,2,1,16,10.5,2025-10-27
Daniss Jenkins,DET,CLE,L,22,4,6,0.667,1,1,1.0,0,0,,0,0,0,5,3,0,3,2,9,9.1,2025-10-27
David Jones Garcia,SAS,TOR,W,2,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,2025-10-27
Day'Ron Sharpe,BKN,HOU,L,22,6,7,0.857,1,2,0.5,4,5,0.8,5,7,12,2,0,0,0,4,17,19.5,2025-10-27
De'Andre Hunter,CLE,DET,W,24,4,11,0.364,2,6,0.333,3,3,1.0,1,4,5,6,1,0,2,3,13,10.8,2025-10-27
DeAndre Jordan,NOP,BOS,L,11,3,4,0.75,0,0,,1,2,0.5,1,4,5,0,0,0,0,1,7,6.5,2025-10-27
Dean Wade,CLE,DET,W,20,1,3,0.333,1,2,0.5,2,4,0.5,3,3,6,2,2,0,2,1,5,6.5,2025-10-27
Deandre Ayton,LAL,POR,L,36,8,15,0.533,0,0,,0,0,,5,3,8,2,2,1,3,4,16,12.6,2025-10-27
Deni Avdija,POR,LAL,W,32,8,17,0.471,5,8,0.625,4,4,1.0,1,3,4,4,1,3,3,2,25,20.0,2025-10-27
Derik Queen,NOP,BOS,L,22,3,7,0.429,0,1,0.0,6,6,1.0,1,2,3,0,1,0,1,4,12,8.0,2025-10-27
Derrick White,BOS,NOP,W,31,5,14,0.357,1,9,0.111,0,0,,0,3,3,7,0,1,1,2,11,7.9,2025-10-27
Desmond Bane,ORL,PHI,L,34,10,17,0.588,2,7,0.286,2,2,1.0,1,2,3,1,0,0,0,6,24,15.7,2025-10-27
Devin Booker,PHX,UTA,L,44,11,26,0.423,5,12,0.417,7,10,0.7,1,4,5,10,0,1,2,4,34,25.0,2025-10-27
Devin Vassell,SAS,TOR,W,30,5,10,0.5,2,6,0.333,3,3,1.0,0,3,3,5,2,0,3,3,15,12.2,2025-10-27
Donovan Clingan,POR,LAL,W,26,8,12,0.667,0,3,0.0,0,0,,7,7,14,2,1,2,2,2,16,18.8,2025-10-27
Donovan Mitchell,CLE,DET,W,29,13,18,0.722,2,4,0.5,7,8,0.875,0,1,1,2,0,0,5,0,35,23.9,2025-10-27
Donte DiVincenzo,MIN,DEN,L,30,3,10,0.3,3,8,0.375,3,3,1.0,0,3,3,4,1,0,1,2,12,9.1,2025-10-27
Draymond Green,GSW,MEM,W,28,2,6,0.333,2,5,0.4,1,2,0.5,0,4,4,10,1,0,4,6,7,6.0,2025-10-27
Duncan Robinson,DET,CLE,L,26,3,8,0.375,2,5,0.4,0,0,,0,0,0,1,0,0,0,1,8,3.9,2025-10-27
Duop Reath,POR,LAL,W,1,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2.7,2025-10-27
Dylan Harper,SAS,TOR,W,27,4,9,0.444,1,2,0.5,2,2,1.0,1,5,6,6,1,0,1,3,11,11.5,2025-10-27
Dyson Daniels,ATL,CHI,L,34,1,8,0.125,0,0,,0,0,,2,5,7,2,3,0,1,4,2,1.5,2025-10-27
E.J. Liddell,BKN,HOU,L,5,2,3,0.667,1,2,0.5,1,1,1.0,1,1,2,0,0,0,0,0,6,5.7,2025-10-27
Eric Gordon,PHI,ORL,W,11,3,4,0.75,2,3,0.667,0,0,,0,0,0,0,1,0,1,1,8,6.0,2025-10-27
Evan Mobley,CLE,DET,W,30,5,10,0.5,1,5,0.2,4,6,0.667,2,9,11,5,1,3,2,3,15,16.7,2025-10-27
Franz Wagner,ORL,PHI,L,36,8,12,0.667,1,4,0.25,5,7,0.714,1,3,4,4,0,1,0,1,22,20.7,2025-10-27
Gary Payton II,GSW,MEM,W,10,2,3,0.667,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,4,3.4,2025-10-27
Goga Bitadze,ORL,PHI,L,14,2,3,0.667,0,0,,1,4,0.25,0,3,3,2,1,0,2,2,5,3.0,2025-10-27
Gradey Dick,TOR,SAS,L,8,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.8,2025-10-27
Grayson Allen,PHX,UTA,L,42,7,19,0.368,4,13,0.308,5,7,0.714,1,1,2,5,1,0,3,5,23,12.2,2025-10-27
Gui Santos,GSW,MEM,W,6,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,1,0,0,1,3,3.6,2025-10-27
Harrison Barnes,SAS,TOR,W,32,6,7,0.857,4,5,0.8,2,2,1.0,0,0,0,5,1,0,3,2,18,16.2,2025-10-27
Harrison Ingram,SAS,TOR,W,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-27
Herbert Jones,NOP,BOS,L,23,3,8,0.375,2,4,0.5,3,4,0.75,0,2,2,0,0,0,2,5,11,2.8,2025-10-27
Hunter Sallis,PHI,ORL,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,2025-10-27
Hunter Tyson,DEN,MIN,W,1,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,2025-10-27
Immanuel Quickley,TOR,SAS,L,32,4,7,0.571,2,4,0.5,5,6,0.833,0,3,3,7,3,0,0,2,15,19.3,2025-10-27
Isaac Okoro,CHI,ATL,W,24,4,8,0.5,1,4,0.25,1,1,1.0,0,0,0,1,0,0,1,2,10,4.9,2025-10-27
Isaiah Hartenstein,OKC,DAL,W,30,8,11,0.727,0,0,,0,0,,5,7,12,0,1,0,1,5,16,15.1,2025-10-27
Isaiah Livers,PHX,UTA,L,21,1,3,0.333,1,3,0.333,2,2,1.0,0,1,1,0,2,2,0,3,5,5.8,2025-10-27
Isaiah Stewart,DET,CLE,L,26,1,9,0.111,1,4,0.25,1,2,0.5,5,4,9,3,1,1,3,3,4,2.0,2025-10-27
JD Davison,HOU,BKN,W,7,1,3,0.333,1,3,0.333,0,0,,0,0,0,1,1,0,0,0,3,3.0,2025-10-27
Ja Morant,MEM,GSW,L,31,8,23,0.348,0,6,0.0,7,7,1.0,0,3,3,9,1,0,3,0,23,15.3,2025-10-27
Ja'Kobe Walter,TOR,SAS,L,10,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,1,1,3,3,1.5,2025-10-27
Jabari Smith Jr.,HOU,BKN,W,24,4,7,0.571,1,3,0.333,2,2,1.0,1,3,4,0,2,0,0,0,11,11.3,2025-10-27
Jabari Walker,PHI,ORL,W,14,2,8,0.25,0,1,0.0,0,0,,2,3,5,0,0,1,0,5,4,0.2,2025-10-27
Jaden Hardy,DAL,OKC,L,21,4,9,0.444,2,4,0.5,1,1,1.0,0,1,1,1,2,0,1,4,11,6.7,2025-10-27
Jaden McDaniels,MIN,DEN,L,35,10,16,0.625,1,3,0.333,4,4,1.0,0,3,3,1,0,4,2,1,25,19.8,2025-10-27
Jae'Sean Tate,HOU,BKN,W,7,2,3,0.667,0,0,,0,0,,0,1,1,0,1,0,0,3,4,2.8,2025-10-27
Jake LaRavia,LAL,POR,L,29,1,6,0.167,0,3,0.0,1,2,0.5,1,5,6,5,0,0,1,2,3,2.7,2025-10-27
Jakob Poeltl,TOR,SAS,L,24,1,6,0.167,0,0,,0,0,,0,2,2,1,0,1,4,3,2,-5.0,2025-10-27
Jalen Duren,DET,CLE,L,21,3,5,0.6,0,0,,2,4,0.5,1,6,7,2,1,2,4,4,8,5.6,2025-10-27
Jalen Johnson,ATL,CHI,L,32,11,18,0.611,0,3,0.0,3,3,1.0,2,4,6,3,3,0,1,2,25,22.7,2025-10-27
Jalen Pickett,DEN,MIN,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-27
Jalen Smith,CHI,ATL,W,7,0,4,0.0,0,1,0.0,0,0,,3,0,3,0,0,0,2,3,0,-3.9,2025-10-27
Jalen Suggs,ORL,PHI,L,21,4,7,0.571,1,3,0.333,3,4,0.75,2,4,6,6,0,0,4,3,12,9.9,2025-10-27
Jalen Wilson,BKN,HOU,L,23,3,8,0.375,1,4,0.25,2,2,1.0,0,1,1,2,1,0,2,1,9,4.9,2025-10-27
Jamal Murray,DEN,MIN,W,37,16,29,0.552,5,9,0.556,6,7,0.857,0,6,6,3,0,0,2,2,43,29.8,2025-10-27
Jamal Shead,TOR,SAS,L,16,2,6,0.333,1,4,0.25,1,1,1.0,0,2,2,5,0,0,2,3,6,3.5,2025-10-27
Jaren Jackson Jr.,MEM,GSW,L,29,4,9,0.444,2,3,0.667,6,6,1.0,0,7,7,0,1,0,0,4,16,12.8,2025-10-27
Jarred Vanderbilt,LAL,POR,L,28,6,11,0.545,0,1,0.0,2,2,1.0,4,4,8,3,3,0,1,1,14,16.4,2025-10-27
Jarrett Allen,CLE,DET,W,25,7,12,0.583,0,0,,6,7,0.857,2,5,7,2,1,0,3,3,20,15.1,2025-10-27
Jase Richardson,ORL,PHI,L,1,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,2025-10-27
Javon Small,MEM,GSW,L,16,1,7,0.143,0,5,0.0,2,2,1.0,1,2,3,4,0,0,1,0,4,2.6,2025-10-27
Javonte Green,DET,CLE,L,17,1,5,0.2,0,1,0.0,0,0,,1,2,3,1,1,0,1,2,2,0.1,2025-10-27
Jaylen Brown,BOS,NOP,W,24,5,9,0.556,1,3,0.333,4,6,0.667,0,7,7,4,0,0,3,5,15,9.8,2025-10-27
Jaylen Wells,MEM,GSW,L,28,3,8,0.375,0,3,0.0,4,4,1.0,0,1,1,2,1,0,1,2,10,6.5,2025-10-27
Jaylin Williams,OKC,DAL,W,17,1,2,0.5,0,1,0.0,2,2,1.0,0,7,7,1,1,1,1,2,4,5.7,2025-10-27
Jaylon Tyson,CLE,DET,W,28,0,5,0.0,0,2,0.0,3,4,0.75,0,2,2,1,0,0,1,5,3,-2.6,2025-10-27
Jeff Green,HOU,BKN,W,4,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,3,2.3,2025-10-27
Jerami Grant,POR,LAL,W,28,7,13,0.538,3,7,0.429,5,5,1.0,1,2,3,3,3,1,2,1,22,20.4,2025-10-27
Jeremiah Fears,NOP,BOS,L,27,1,11,0.091,0,4,0.0,0,0,,1,1,2,2,1,0,4,2,2,-6.7,2025-10-27
Jimmy Butler III,GSW,MEM,W,31,6,8,0.75,2,2,1.0,6,8,0.75,0,5,5,5,0,0,5,0,20,16.0,2025-10-27
Joan Beringer,MIN,DEN,L,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,2025-10-27
Jock Landale,MEM,GSW,L,24,6,6,1.0,2,2,1.0,3,3,1.0,3,3,6,3,0,0,1,3,17,18.1,2025-10-27
John Konchar,MEM,GSW,L,21,1,5,0.2,1,4,0.25,0,0,,0,4,4,1,1,0,1,2,3,1.0,2025-10-27
Johnny Juzang,MIN,DEN,L,3,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2025-10-27
Jonas Valančiūnas,DEN,MIN,W,10,1,3,0.333,0,0,,2,4,0.5,1,3,4,0,0,1,1,3,4,1.6,2025-10-27
Jonathan Kuminga,GSW,MEM,W,32,9,14,0.643,0,2,0.0,7,8,0.875,3,7,10,4,0,1,3,2,25,22.3,2025-10-27
Jonathan Mogbo,TOR,SAS,L,3,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,2025-10-27
Jordan Hawkins,NOP,BOS,L,15,0,5,0.0,0,2,0.0,0,0,,1,1,2,1,0,0,0,0,0,-1.8,2025-10-27
Jordan McLaughlin,SAS,TOR,W,10,1,2,0.5,1,2,0.5,2,2,1.0,0,0,0,2,2,0,0,2,5,6.6,2025-10-27
Jordan Poole,NOP,BOS,L,34,5,14,0.357,3,8,0.375,9,9,1.0,1,1,2,4,1,0,1,3,22,16.8,2025-10-27
Jordan Walsh,BOS,NOP,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-27
Jose Alvarado,NOP,BOS,L,22,2,6,0.333,1,4,0.25,0,0,,1,2,3,2,2,0,1,0,5,5.3,2025-10-27
Josh Giddey,CHI,ATL,W,33,7,14,0.5,2,5,0.4,2,4,0.5,1,12,13,5,1,1,3,0,18,16.7,2025-10-27
Josh Minott,BOS,NOP,W,28,6,9,0.667,1,3,0.333,2,2,1.0,2,7,9,1,1,1,0,3,15,15.8,2025-10-27
Josh Okogie,HOU,BKN,W,31,3,5,0.6,2,2,1.0,2,2,1.0,0,0,0,1,2,0,0,4,10,8.8,2025-10-27
Jrue Holiday,POR,LAL,W,30,10,15,0.667,4,7,0.571,0,0,,0,5,5,6,1,2,2,3,24,22.4,2025-10-27
Julian Champagnie,SAS,TOR,W,23,3,7,0.429,1,4,0.25,2,3,0.667,0,9,9,1,0,1,1,0,9,8.0,2025-10-27
Julian Phillips,CHI,ATL,W,10,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,0,1,0,1,5,3.3,2025-10-27
Julian Strawther,DEN,MIN,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-27
Julius Randle,MIN,DEN,L,35,8,15,0.533,1,4,0.25,7,8,0.875,1,6,7,3,2,1,2,4,24,20.0,2025-10-27
Justin Edwards,PHI,ORL,W,19,2,5,0.4,1,3,0.333,0,0,,0,1,1,1,0,0,0,3,5,2.1,2025-10-27
Jusuf Nurkić,UTA,PHX,W,18,3,6,0.5,0,1,0.0,1,2,0.5,5,8,13,2,2,0,4,1,7,8.5,2025-10-27
Karlo Matković,NOP,BOS,L,3,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2025-10-27
Keaton Wallace,ATL,CHI,L,5,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.2,2025-10-27
Keldon Johnson,SAS,TOR,W,24,4,6,0.667,2,3,0.667,0,0,,2,3,5,0,1,0,1,1,10,9.3,2025-10-27
Kelly Oubre Jr.,PHI,ORL,W,40,9,16,0.563,2,6,0.333,5,5,1.0,4,6,10,4,1,2,0,1,25,26.8,2025-10-27
Kentavious Caldwell-Pope,MEM,GSW,L,26,3,7,0.429,1,4,0.25,0,0,,0,2,2,4,0,1,1,2,7,5.6,2025-10-27
Kevin Durant,HOU,BKN,W,25,6,14,0.429,0,4,0.0,7,7,1.0,0,6,6,3,1,0,3,4,19,11.9,2025-10-27
Kevin Huerter,CHI,ATL,W,21,6,8,0.75,1,3,0.333,2,2,1.0,0,0,0,2,0,1,2,4,15,10.3,2025-10-27
