event_id,home_team,away_team,commence_time,bookmaker,market,player,direction,line,odds,timestamp
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Andre Drummond,Over,8.5,102,2026-01-20T17:11:26.958519
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Andre Drummond,Under,8.5,-130,2026-01-20T17:11:26.958532
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Jalen Green,Over,12.5,-104,2026-01-20T17:11:26.958535
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Jalen Green,Under,12.5,-122,2026-01-20T17:11:26.958537
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Royce O'Neale,Over,8.5,-108,2026-01-20T17:11:26.958539
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Royce O'Neale,Under,8.5,-118,2026-01-20T17:11:26.958541
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,VJ Edgecombe,Over,15.5,-120,2026-01-20T17:11:26.958543
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,VJ Edgecombe,Under,15.5,-106,2026-01-20T17:11:26.958544
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Devin Booker,Over,24.5,100,2026-01-20T17:11:26.958546
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Devin Booker,Under,24.5,-128,2026-01-20T17:11:26.958548
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Quentin Grimes,Over,11.5,100,2026-01-20T17:11:26.958550
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Quentin Grimes,Under,11.5,-128,2026-01-20T17:11:26.958551
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Tyrese Maxey,Over,28.5,-128,2026-01-20T17:11:26.958558
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Tyrese Maxey,Under,28.5,100,2026-01-20T17:11:26.958560
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Mark Williams,Over,9.5,-113,2026-01-20T17:11:26.958562
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Mark Williams,Under,9.5,-113,2026-01-20T17:11:26.958563
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Dillon Brooks,Over,17.5,100,2026-01-20T17:11:26.958565
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Dillon Brooks,Under,17.5,-128,2026-01-20T17:11:26.958566
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Paul George,Over,17.5,-115,2026-01-20T17:11:26.958568
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Paul George,Under,17.5,-111,2026-01-20T17:11:26.958569
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Kelly Oubre Jr,Over,10.5,-130,2026-01-20T17:11:26.958571
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Kelly Oubre Jr,Under,10.5,102,2026-01-20T17:11:26.958572
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Grayson Allen,Over,13.5,-102,2026-01-20T17:11:26.958576
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Grayson Allen,Under,13.5,-125,2026-01-20T17:11:26.958577
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Collin Gillespie,Over,10.5,-115,2026-01-20T17:11:26.958579
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,fanduel,player_points,Collin Gillespie,Under,10.5,-113,2026-01-20T17:11:26.958582
8b31228a946c10f7e851d0948dd174f0,Philadelphia 76ers,Phoenix Suns,2026-01-21T00:10:00Z,draftkings,player_points,Tyrese Maxey,Over,29.5,-114,2026-01-20T17:11:26.958586
